TRANSLATION_NAME,"Polish"
RX_SETTINGS,"Ustawienia RX"
NO_RESPONSE_FROM_RECEIVER,"Odbiornik nie odpowiada"
SBUS_OUT,"SBUS Out"
SBUS_IN,"SBUS In"
TELEMETRY_25_MW,"Telemetria 25mW"
HIGH_PWM_SPEED,"Szybkie ramki PWM"
FLIGHT_DATA_RECORDER,"Flight Data Record"
RX_HAS_NO_FLIGHT_DATA_RECORD,"Receiver has no flight data recorder."
DEVICE_CONFIG,"Konf. osprzętu"
CONFIRM_DELETE_TIMER,"Na pewno usunąć ten licznik?"
TIMER,"Licznik"
MODE,"Tryb"
PASTE,"Wklej"
TIMERS,"Liczniki"
COPY,"Kopiuj"
NO_TIMER_HINT,"Brak zdefiniowanych liczników. Dodaj nowy licznik."
ANTENNA,"Antena"
POWER_HAS_BEEN_CHANGED_PLEASE_REBIND,"Zmieniono moc nadawczą. Zbinduj ponownie odbiornik."
NO_RESPONSE_FROM_MODULE,"Brak odpowiedzi modułu TX!"
POWER,"Moc"
BAUDRATE,"Baudrate"
WAITING_FOR_MODULE,"Oczekiwanie na moduł..."
TX_SETTINGS,"Ustawienia TX"
MIXES,"Mikser"
CHANNELS,"Kanały"
FLIGHT_MODE,"Faza lotu"
D,"D"
CONFIRM_DELETE_MIX,"Na pewno usunąć tę linię miksera?"
CONFIRM_DELETE_SSS,"Are you sure you want to delete %s?"
NONE,"Brak"
NO_MIX_HINT,"Brak zdefiniowanych linii miksera. Dodaj nową pozycję."
TYPE,"Typ"
SHARE,"Udostępnij"
RX,"RX"
RACING_MODE,"Tryb wyczynowy"
RANGE_CHECK,"Sprawdzenie zasięgu","Zasięg"
EXTERNAL_MODULE,"Moduł zew."
BIND_OK,"Bindowanie OK"
BINDING_3DOTS,"Bindowanie..."
BIND,"Bindowanie"
FAILSAFE,"Failsafe"
INTERNAL_MODULE,"Moduł wew."
SET_FAILSAFE,"Ustaw Failsafe"
RESET_BIND,"Zresetuj bindowanie"
FACTORY_RESET,"Factory reset"
RF_SYSTEM,"System RF"
OWNER_REGISTRATION_ID,"ID rejestracyjne właściciela"
SELECT_DEVICE,"Wybierz urządzenie"
REGISTER,"Rejestruj"
VALID_FRAME_RATE,"VFR"
STATE,"Stan"
PROTOCOL,"Protokół"
ARE_YOU_SURE_TO_RESET_THIS_RECEIVER,"Na pewno zresetować ten odbiornik?"
SET,"Ustaw"
EXPO,"Expo"
UNIT_POINTS_COUNT,"pkt."
WEIGHT,"Waga"
POINTS,"Punktów"
OFFSET,"Przesunięcie"
AUTO_OFFSET,"Auto offset"
OFFSET_WHEN_ACTIVE,"Offset when active"
OFFSET_WHEN_INACTIVE,"Offset when inactive"
SMOOTH,"Wygładzenie"
POINT,"Punkt"
POINTS_COUNT,"Ilość punktów"
EASY_MODE,"Tryb uproszczony"
LOGIC_SWITCHES,"Przełączniki Log.","Przełącz. Log."
ARE_YOU_SURE_YOU_WANT_TO_DELETE_THIS_LOGIC_SWITCH,"Na pewno usunąć ten przełącznik logiczny?"
NO_LOGIC_SWITCH_HINT,"Brak zdefiniowanych przełączników logicznych. Dodaj nowy przełącznik."
START_CONDITION,"Start condition"
STOP_CONDITION,"Stop condition"
TIMER_EDIT,"Edytuj licznik"
PERSISTENT,"Zapamiętuj stan"
START_VALUE,"Wartość początkowa","Start"
AUDIO_ACTIONS,"Audio actions"
AUDIO_ACTION,"Audio action"
ADD_A_NEW_AUDIO_ACTION,"Add a new audio action"
ALARM_VALUE,"Alarm / Wartość początkowa","Alarm"
HAPTIC,"Wibracje"
COUNTDOWN,"Countdown"
BEEP_COUNTDOWN,"Beep countdown"
START,"Start"
PLAY_FILE,"Play File"
SPACE_WITH_OTHERS," others..."
CONFIRM_DELETE_CURVE,"Na pewno usunąć tę krzywą?"
CURVE_USED_BY,"Krzywa używana w następujących liniach miksera:"
AND_WITH_TWO_SPACES," and "
CURVES,"Krzywe"
VARS,"Vars"
NO_VAR_HINT,"No var yet. Please press the add button to create one!"
ARE_YOU_SURE_YOU_WANT_TO_DELETE_THIS_VAR,"Are you sure you want to delete this var?"
NO_CURVE_HINT,"Brak zdefiniowanych krzywych. Dodaj nową krzywą."
CONFIRM_RESET_MIXES,"Ta operacja spowoduje reset wszystkich ustawień Miksera.\nNa pewno kontynuować??"
ELEVATORS,"Ster Wysokości"
YAW,"Odchylenie (Yaw)"
SWASH_PLATE,"Swash Plate"
EDIT_MODEL,"Edytuj Model"
PICTURE,"Obraz"
TAIL,"Usterzenie ogona"
AILERONS,"Lotki"
PITCH,"Pochył (Pitch)"
THROTTLE,"Gaz"
FLAPS,"Klapy"
ENGINE,"Motor"
RUDDERS,"Ster Kierunku"
ROLL,"Przechył (Roll)"
FUNCTION_SWITCHES,"Przełączniki prog"
RESET_ALL_MIXES,"Reset Miksera"
CREATE_CALCULATED_SENSOR,"Utwórz czujnik syntetyczny"
CONFIRM_DELETE_SENSORS,"Wszystkie wykryte obecnie czujniki zostaną skasowane.\nNa pewno kontunuować?"
ON,"WŁ"
OFF,"WYŁ"
DISCOVER_NEW_SENSORS,"Wykryj podłączone czujniki"
DELETE_ALL,"Skasuj wszystkie"
CREATE_DIY_SENSOR,"Utwórz własny czujnik (DIY)"
CONFIRM_LOAD_ALL_SWITCH_POSITIONS,"Pozycje kontrolne przełączników zostaną zastąpione ich aktualnym ustawieniem. Czy chcesz kontynuować?"
CHECK_FUNCTION,"Check function"
LOAD_ALL_SWITCH_POSITIONS,"Ustal pozycje przełączników"
CONFIRM_LOAD_ALL_POT_POSITIONS,"Pozycje kontrolne potencjometrów zostaną zastąpione ich aktualnym ustawieniem. Czy chcesz kontynuować?"
LOAD_ALL_POT_POSITIONS,"Ustal pozycje potencjometrów"
CALIBRATION_FINISH,"Kalibracja zakończona"
SXR_CALIBRATION,"Kalibracja SxR"
CLICK_WHEN_DONE,"Kliknij gdy gotowe"
CALIBRATING,"Kalibrowanie..."
SXR_CALIBRATION_DESCRIPTION,"Opis kroków kalibracji SxR"
SLAVE_CH,"Slave CH"
PERCENT,"Percent"
DESTINATION,"Destination"
ENABLE,"WŁ"
NO_FUNCTION_HINT,"Brak zdefiniowanych funkcji specjalnych. Dodaj nową funkcję."
SPECIAL_FUNCTIONS,"Funkcje Specjalne"
SF,"FS"
DISABLE,"WYŁ"
ARE_YOU_SURE_YOU_WANT_TO_DELETE_THIS_SPECIAL_FUNCTION,"Na pewno usunąć tę funkcję specjalną?"
REGISTRATION_OK,"Rejestracja OK"
UID,"UID"
REGISTRATION_ID,"ID rejestracyjne"
RX_NAME,"Nazwa RX"
RECEIVER_CONNECTED,"Odbiornik połączony"
REGISTRATION,"Rejestracja"
TRIMS,"Trymy"
FADE_IN,"Przejście aktywacji"
FADE_OUT,"Przejście dezaktywacji"
AUTO_DETECT,"Auto wykrywanie"
DISPLAY_DECIMALS_AND_UNIT,"Dokładność wyświetlania / jdn"
SELECT_SENSOR,"Wybierz czujnik"
DIY_SENSOR,"Czujnik własny (DIY)"
WAITING,"Czekam"
WAITING_FOR_DATA,"Czekam na dane z czujnika..."
BAND,"Pasmo"
RATIO,"Mnożnik"
MODULE,"Moduł"
PROTOCOL_DECIMALS_AND_UNIT,"Dokładność protokołu / jdn"
CROSS_TRIM,"Przypisanie do drążków"
MOVE_TRIM_TO_SUBTRIM,"Move trim to subtrim"
INSTANT_TRIM,"Instant trim"
CONFIRM_MOVE_TRIM_TO_SUBTRIM,"Confirm move trim to subtrim?"
MOVE_TRIMS_TO_SUBTRIMS,"Move trims to subtrims"
CONFIRM_MOVE_TRIMS_TO_SUBTRIMS,"Confirm move trims to subtrims?"
INDEPENDENT_PER_FLIGHT_MODE,"Trym niezależny per Faza Lotu"
STICK,"Drążek"
CONFIGURE_SCREENS,"Konfiguruj ekrany"
TOP_SCREEN,"Top Screen"
CHANGE_LAYOUT,"Change Layout"
FULL_SCREEN,"Full Screen"
WIDGET,"Widżet"
SET_MAIN_SCREEN,"Ustaw jako ekran główny"
CONFIGURE_WIDGET,"Konfiguruj Widżet"
NEW_SCREEN,"Nowy ekran"
SCREEN,"Ekran"
CHANGE_WIDGET,"Zmień widżet","Zmień..."
MOVE_FORWARD,"← Przesuń do przodu"
MOVE_BACKWARD,"→ Przesuń do tyłu"
RESET_FLIGHT,"Reset Lotu"
RESET_TIMERS,"Reset Liczników"
RESET_TELEMETRY,"Reset Telemetrii"
HOME,"Start"
ADD_AFTER,"Dodaj za..."
ADD_MIX_FAILED,"Dodanie linii miksera nieudane!"
MAX_MIXES_REACHED,"Przekroczono maksymalną ilość linii miksera!"
FIRST_POSITION,"Jako pierwszy"
MIXES_LIBRARY,"Biblioteka miksera"
LOCAL_ADDRESS,"Adres własny (lokalny)"
WAITING_FOR_DEVICES,"Wykrywam urządzenia..."
LOCAL_NAME,"Nazwa własna (lokalna)"
SEARCH_DEVICES,"Wyszukaj urządzenia"
BLUETOOTH_DEVICE_CONNECTED,"Urządzenie Bluetooth podłączone"
CONNECT_LAST_DEVICE,"Podłącz ostatnio używane"
DEVICE,"Device"
NO_BLUETOOTH_DEVICE_FOUND,"Nie znaleziono urządzeń Bluetooth!"
SPEAKER_MUTE,"Wycisz głośnik"
DISCONNECT,"Rozłącz"
WAITING_FOR_DEVICE,"Czekam na połączenie"
DIST_ADDRESS,"Adres urządzenia zdalnego"
CONNECTING,"Łączenie"
ROTARY_ENCODER_HALF_STEPS,"Rotary encoder half steps"
BLUETOOTH_AUDIO,"Bluetooth Audio"
NOT_INSTALLED,"Not installed (default)"
INSTALLED_AS_AN_OPTION,"Installed as an option"
RESET_MODULE,"Reset modułu"
HIGH_SPEED,"High Speed"
NORMAL_SPEED,"Normal Speed"
MODEL,"Model"
CHECKLIST,"Lista Kontrolna"
FILE_MANAGER,"Pliki"
SOUND,"Dźwięki i Wibr."
STICKS,"Drążki"
DATE_TIME,"Data i Czas"
HARDWARE,"Sprzęt"
INFO,"Informacje"
SERIAL_NUMBER,"Serial number"
RESET_FACTORY_SETTINGS,"Reset factory settings"
CONFIRM_RESET_FACTORY_SETTINGS,"Reset factory settings?"
SYSTEM,"System"
DISPLAY,"Wyświetlacz"
KEYBOARD,"Keyboard"
ENABLE_SLIDER,"Enable slider"
DISABLE_SLIDER,"Disable slider"
ALERTS,"Alarmy"
SPECTRUM_ANALYSER,"Spektrum"
BATTERY,"Bateria"
CHECKLIST_WARNING,"Ostrzeżenie - Lista kontrolna"
RADIO_IS_IN_SILENT_MODE,"Radio jest w trybie cichym"
RADIO_BATTERY_IS_LOW,"Napięcie baterii głównej radia jest niskie!"
THROTTLE_IS_NOT_IDLE,"Zamknij przepustnicę"
ARE_NOT_IN_SAFE_POSITION," są nie w bezpiecznej pozycji"
IS_NOT_IN_SAFE_POSITION," jest nie w bezpiecznej pozycji"
FUNCTION_SWITCHES_ARE_NOT_IN_SAFE_POSITION,"Przełączniki programowalne nie są w bezpiecznych pozycjach"
FAILSAFE_IS_NOT_SET,"Ustaw bezpieczne parametry Failsafe!"
RTC_BATTERY_IS_LOW,"Napięcie baterii zegara czasu rzeczywistego (RTC) jest niskie!"
ALWAYS_ON,"Zawsze WŁ"
YES,"Tak"
DIGITAL_RSSI,"Cyfrowe RSSI"
GYRO,"Żyroskop"
GYRO_SWITCHES,"Gyro switches"
LANGUAGE,"Język"
SWITCHES,"Przełączniki"
TOP_TOOLBAR,"Górna belka ekranu"
NO,"Nie"
BRIGHTNESS,"Jasność"
KEYS,"Przyciski"
WAKE_UP,"Wybudzanie"
DIGITAL_VOLTAGE,"Cyfrowe napięcie"
SLEEP,"Wygaszanie"
SYSTEM_ALERTS,"Alarmy Systemowe"
INACTIVITY,"Nieaktywność"
AUTO_ADJUST_FROM_GPS,"Pobierz automatycznie z GPS"
DATE,"Data"
ADJUST_RTC_SPEED,"Skoryguj chód zegara"
SHOW_SECONDS,"Wyświetlaj sekundy"
IS24HOUR,"Czas 24-godzinny"
TIME_ZONE,"Strefa czasowa"
YEAR,"Rok"
MONTH,"Miesiąc"
TIME,"Czas"
NEXT,"Dalej"
GYRO_CALIBRATION,"Kalibracja żyroskopu"
PREV,"Wróć"
MDL_LONG,"MDL Długi"
HARDWARE_CHECK,"Test sprzętowy"
SWITCHES_SETTINGS,"Ustawienia przełączników"
ADC_INSPECTOR,"Inspekcja ADC"
SYS_LONG,"SYS Długi"
HOME_KEYMAP,"Mapowanie przycisków"
POTS_SLIDERS_SETTINGS,"Ustawienia Pot. / Suwaków"
SWITCH_MIDDLE_DETECT_DELAY,"Opóźnienie wykrycia pozycji środkowej"
DISP_SHORT,"{DISP_LABEL} Krótki"
DISP_LONG,"{DISP_LABEL} Długi"
SWITCH,"Przełącznik"
ANALOGS_FILTER,"Filtr analogowy"
ANALOGS_CALIBRATION,"Kalibracja analogowa"
CONFIRM_CONTINUE,"Na pewno kontynuować?"
THR_NOT_LOW_WARNING,"Drążek gazu nie jest opuszczony!"
CHANNELS_ORDER,"Kolejność kanałów"
STICKS_MODE,"Układ drążków (mode)"
STICKS_MODE_1,"Sticks mode 1"
STICKS_MODE_2,"Sticks mode 2"
STICKS_MODE_3,"Sticks mode 3"
STICKS_MODE_4,"Sticks mode 4"
FIRST_FOUR_CHANNELS_FIXED,"Zapewnij układ pierwszych 4 kanałów"
NO_SD_CARD,"Brak karty SD"
FLASH_BOOTLOADER,"Flash Bootloader"
FLASH_INTERNAL_MODULE,"Programuj moduł wewnętrzny"
PLAY,"Odtwórz"
CURRENT_VERSION,"Wersja aktualna"
FLASH_RECEIVER_BY_INTERNAL_MODULE_OTA,"Programuj RX przez mod. wew. OTA"
FLASH_RECEIVER_BY_EXTERNAL_MODULE_OTA,"Flash RX by ext. OTA"
OTA_UPDATE,"Aktualizacja OTA"
FLASH_EXTERNAL_DEVICE,"Programuj urządzenie zewnętrzne"
OPEN,"Otwórz"
FLASH_EXTERNAL_MODULE,"Programuj moduł zewnętrzny"
FLASH_EXTERNAL_MULTIMODULE,"Flash external multimodule"
MOVE_HERE,"Przenieś tutaj"
OTA_UPDATE_ERROR,"Błąd aktualizacji OTA"
UNSUPPORTED_RX,"Niewspierany odbiornik (RX)"
MAIN_VOLTAGE,"Bateria główna"
DISPLAY_VOLTAGE_RANGE,"Wyświetlany zakres napięcia"
LOW_VOLTAGE,"Próg niskiego napięcia"
RTC_VOLTAGE,"Bateria zegara RTC"
UNKNOWN,"Nieznany"
FIRMWARE,"Firmware"
FIRMWARE_VERSION,"Wersja firmware"
VIDEO_HARDWARE_VERSION,"Video Hardware Version"
RECEIVER,"Odbiornik"
NON_STABILIZED_RECEIVER,"Non stabilized receiver"
VARIO,"Wariometr"
MAIN_VOLUME,"Głośność ogólna"
AUDIO_VOLUME,"Głośność"
PITCH_AT_ZERO,"Ton zero"
SEQUENCE,"Sequence"
PITCH_AT_MAX,"Ton max"
REPEAT_AT_ZERO,"Powtórzenie"
SILENT,"Cichy"
ALARMS_ONLY,"Tylko alarmy"
OFTEN,"Większość"
ALWAYS,"Wszystko"
NEVER,"Never"
WHEN_TELEMETRY_STREAMING,"When telemetry streaming"
VOICE1,"Voice 1 (Main)"
VOICE2,"Voice 2"
VOICE3,"Voice 3"
SUNDAY,"Niedziela"
MONDAY,"Poniedziałek"
TUESDAY,"Wtorek"
WEDNESDAY,"Środa"
THURSDAY,"Czwartek"
FRIDAY,"Piątek"
SATURDAY,"Sobota"
JANUARY,"Styczeń"
FEBRUARY,"Luty"
MARCH,"Marzec"
APRIL,"Kwiecień"
MAY,"Maj"
JUNE,"Czerwiec"
JULY,"Lipiec"
AUGUST,"Sierpień"
SEPTEMBER,"Wrzesień"
OCTOBER,"Październik"
NOVEMBER,"Listopad"
DECEMBER,"Grudzień"
CURRENT,"Natęż. prądu"
VFAS,"VFAS"
TEMPERATURE_2,"Temp2"
TEMPERATURE_1,"Temp1"
FUEL,"Fuel"
ACCX,"AccX"
ACCY,"AccY"
ACCZ,"AccZ"
GPS_ALT,"GPS Wysokość"
GPS_SPEED,"GPS Prędkość"
GPS_COURSE,"GPS Kurs"
AIR_SPEED,"Prędk. w pow."
BATTERY_1_VOLTAGE,"Bat1 Voltage"
BATTERY_1_CURRENT,"Bat1 Current"
BATTERY_2_VOLTAGE,"Bat2 Voltage"
BATTERY_2_CURRENT,"Bat2 Current"
RBOX_STATE_1,"RBOX S1"
RBOX_STATE_2,"RBOX S2"
BATTERY_1_CONSUMPTION,"Bat1 Cons."
BATTERY_2_CONSUMPTION,"Bat2 Cons."
BATTERY_1_TEMPERATURE,"Bat1 temp."
BATTERY_2_TEMPERATURE,"Bat2 temp."
SD1_CHANNEL,"SD1CH"
ESC_VOLTAGE,"ESC Napięcie"
ESC_CURRENT,"ESC Prąd"
ESC_RPM,"ESC RPM"
ESC_CONSUMPTION,"ESC Consumption"
ESC_TEMPERATURE,"ESC Temp"
RB_OUTPUT_STATE,"Output State"
RB_CH1_A,"CH1 Current"
RB_CH2_A,"CH2 Current"
RB_CH3_A,"CH3 Current"
RB_CH4_A,"CH4 Current"
RB_CH5_A,"CH5 Current"
RB_CH6_A,"CH6 Current"
RB_CH7_A,"CH7 Current"
RB_CH8_A,"CH8 Current"
RB_CH9_A,"CH9 Current"
RB_OUTPUT_1_VOLTAGE,"Output1 Voltage"
RB_OUTPUT_2_VOLTAGE,"Output2 Voltage"
GASSUIT_TEMP1,"GASS Temp1"
GASSUIT_TEMP2,"GASS Temp2"
GASSUIT_SPEED,"GASS RPM"
GASSUIT_RES_VOL,"GASS Res. Vol."
GASSUIT_RES_PERC,"GASS Res. %"
GASSUIT_FLOW,"GASS Przepływ"
GASSUIT_MAX_FLOW,"GASS Przepływ Max"
GASSUIT_AVG_FLOW,"GASS Przepływ Śr."
BEC_VOLTAGE,"BEC Voltage"
BEC_CURRENT,"BEC Current"
R9M_POWER,"R9M Power"
ROLL_ANGLE,"R.Angle"
PITCH_ANGLE,"P.Angle"
HYDRAULIC_PRESSURE,"H.Pressure"
INTERNAL_GPS,"Internal GPS"
RAM_AVAILABLE,"RAM available"
CLOCK,"Clock"
LATITUDE,"Szerokość geogr."
LONGITUDE,"Wysokość geogr."
TRIP,"Trasa"
CATEGORY,"Kategoria"
MEMBER,"Pozycje"
IGNORE_TRAINER_INPUT,"Ignoruj wejście trenera"
FULL_RANGE,"Full range"
IGNORE_RANGE,"Ignore range"
HALF_RANGE,"Half range"
NEGATIVE,"Negative"
EDGE,"Edge"
ELE_TO_AIL,"Wys => Lotki"
AIL_TO_RUD,"Lotki => Kier"
ELE_TO_CAMBER,"Wys => Camber"
RUD_TO_AIL,"Kier => Lotki"
RUD_TO_ELE,"Kier => Wys"
AIL_TO_FLAPS,"Lotki => Klapy"
FLAPS_TO_ELE,"Klapy => Wys"
FREE_MIX,"Dowolny Miks"
SNAP_ROLL,"Snap Roll"
TEST_MIX,"Test Mix"
FIXED_WING,"Samolot"
GLIDER,"Szybowiec"
HELI,"Helikopter"
MULTI,"Multikopter"
OTHER,"Inny"
CALIBRATION,"Kalibracja"
INPUTS,"Wejścia"
UPDATE,"Uaktualnienie"
SDCARD,"Karta SD"
SDCARD_ERROR,"Błąd karty SD"
INVALID_DATA,"Błędne dane"
FILE_BAD_FORMAT,"Nieznany plik"
NO_FILES_ON_SD,"Brak plików na SD"
READ_ERROR,"Błąd odczytu"
WRITE_ERROR,"Błąd zapisu"
WRONG_HEADER,"Błędny nagłówek"
WRONG_FORMAT,"Błędny format"
WRONG_CRC,"Błędne CRC"
WRONG_FILE_SIZE,"Błędny rozmiar pliku"
WRONG_FILE,"Błędny plik"
ERROR,"Błąd"
RUDDER,"Ster Kier."
ELEVATOR,"Ster Wys."
DELETE,"Usuń"
MODEL_BITMAP,"Obraz modelu"
TAIL_TYPE,"Rodzaj usterzenia ogona"
TRADITIONAL,"Tradycyjne"
VTAIL,"V-Tail"
REVERSE,"Odwróć"
RATE,"Rate"
UP,"Góra"
DOWN,"Dół"
RIGHT,"Right"
LEFT,"Left"
TOP,"Top"
BOTTOM,"Bottom"
TIMER_UP,"Plus"
TIMER_DOWN,"Minus"
LIMIT,"Limit"
SPEED,"Prędkość"
SET_DATE,"Ustaw datę"
SET_TIME,"Ustaw czas"
SILENT_MODE,"Tryb cichy"
KEY,"Key"
ALARM,"Alarm"
TRIM,"Trym"
SETUP_CHANNEL,"Setup channel"
LOGIC_SWITCH,"Logic Switch"
CREATE_MODEL,"Tworzenie modelu"
CANCEL,"Cancel"
DELAY,"Delay"
SAVE,"SAVE"
LS,"PLG"
FS,"PPR"
OP,"OP"
TRAINER_MASTER,"Trener"
TRAINER_SLAVE,"Uczeń"
LINK_MODE,"Link Mode"
TRAINEE_CHANNEL,"Kanał ucznia"
RECEIVER_TYPE,"Receiver Type"
BACK,"Back"
INTERNAL,"Wewnętrzna"
EXTERNAL,"Zewnętrzna"
RF_PROTOCOL,"Protokół RF"
EXTERNAL_RF,"External RF"
LOGIC_SWITCH_RANGE,"Range"
PLAY_SEQUENCE,"Odtwórz ścieżkę"
WAIT_DURATION,"Wait duration"
WAIT_CONDITION,"Wait condition"
CONFIRM_DELETE_LINE,"Are you sure you want to delete this line?"
ADD_A_NEW_LINE_IN_SEQUENCE,"Add a new line in sequence"
PLAY_TEXT,"Play text"
GO_TO_SCREEN,"Go to screen"
LOCK_TOUCHSCREEN,"Lock touchscreen"
BLANK,"Blank"
CALIBRATE,"Kalibruj"
CLICK_CALIBRATE_TO_START,"Aby zacząć naciśnij 'Kalibruj'"
CENTER_STICKS_POTS_SLIDERS_AND_CLICK_NEXT,"Wycentruj drążki/potencjometry/suwaki i wybierz 'Dalej'"
MOVE_STICKS_POTS_SLIDERS_AND_CLICK_NEXT,"Porusz w pełnym zakresie drążki/potencjometry/suwaki i wybierz 'Dalej'"
CALIBRATION_COMPLETE_CLICK_CONFIRM_TO_STORE,"Kalibracja zakończona, wybierz 'Zatwierdź' aby zapisać ustawienia"
BACKLIGHT,"Podświetlenie"
DARK_MODE,"Dark Mode"
HIGHLIGHT_COLOR,"Highlight Color"
MODEL_NAME,"Nazwa"
NO_AIRBRAKES,"Brak hamulców"
OK,"OK"
FLAP,"Flap"
AIRBRAKE,"Airbrake"
FILE,"Plik"
FLASH_SPORT,"Programuj S.port"
PLAY_VALUE,"Odczytaj wartość"
ANALOGS,"Proporcjonalne"
SWITCHES_POSITIONS,"Poz. przełącz."
TRIMS_POSITIONS,"Poz. trymów"
CONST_VALUE,"Const value"
SLIDER_LEFT,"Suwak lewy"
SLIDER_RIGHT,"Suwak prawy"
RIGHT_HORIZONTAL,"Prawy poziomy"
TRIM_RIGHT_HORIZONTAL_LEFT,"Trym PpozL"
TRIM_RIGHT_HORIZONTAL_RIGHT,"Trym PpozP"
RIGHT_VERTICAL,"Prawy pionowy"
TRIM_RIGHT_VERTICAL_UP,"Trym PpionG"
TRIM_RIGHT_VERTICAL_DOWN,"Trym PpionD"
LEFT_VERTICAL,"Lewy pionowy"
TRIM_LEFT_VERTICAL_UP,"Trym LpionG"
TRIM_LEFT_VERTICAL_DOWN,"Trym LpionD"
LEFT_HORIZONTAL,"Lewy poziomy"
TRIM_LEFT_HORIZONTAL_LEFT,"Trym LpozL"
TRIM_LEFT_HORIZONTAL_RIGHT,"Trym LpozR"
TRIM_T5_LEFT,"T5 L"
TRIM_T5_RIGHT,"T5 P"
TRIM_T6_LEFT,"T6 L"
TRIM_T6_RIGHT,"T6 P"
TRIM_T5_DOWN,"T5 D"
TRIM_T5_UP,"T5 G"
