TRANSLATION_NAME,"Português Brasileiro"
START_VALUE,"Valor de início"
AUDIO_ACTIONS,"Audio actions"
AUDIO_ACTION,"Audio action"
ADD_A_NEW_AUDIO_ACTION,"Add a new audio action"
ALARM_VALUE,"Valor do alarme"
HAPTIC,"Vibrar"
COUNTDOWN,"Countdown"
BEEP_COUNTDOWN,"Beep countdown"
START,"Start"
PLAY_FILE,"Play File"
SPACE_WITH_OTHERS," outros..."
CONFIRM_DELETE_CURVE,"Deseja eliminar esta curva ?"
CURVE_USED_BY,"Curva usada pelos seguintes mixers:"
AND_WITH_TWO_SPACES," e "
CURVES,"Curvas"
VARS,"Vars"
NO_VAR_HINT,"No var yet. Please press the add button to create one!"
ARE_YOU_SURE_YOU_WANT_TO_DELETE_THIS_VAR,"Are you sure you want to delete this var?"
NO_CURVE_HINT,"Sem curva. Pressione '+' para criar uma!"
CONFIRM_RESET_MIXES,"Esta mudança irá apagar todas os seus mixers. Continuar ?"
ELEVATORS,"Profundor"
YAW,"Yaw"
SWASH_PLATE,"Swash plate"
EDIT_MODEL,"Editar modelo"
PICTURE,"Imagem"
TAIL,"Cauda"
AILERONS,"Aileron"
PITCH,"Pitch"
THROTTLE,"Acelerador"
FLAPS,"Flaps"
ENGINE,"Motor"
RUDDERS,"Leme"
ROLL,"Roll"
FUNCTION_SWITCHES,"Inter. de função"
RESET_ALL_MIXES,"Apagar todas os mixers"
CREATE_CALCULATED_SENSOR,"Criar sensor customizado"
CONFIRM_DELETE_SENSORS,"Todos os sensores serão removidos. \n Tem a certeza que deseja continuar?"
ON,"Lig."
OFF,"Desl."
DISCOVER_NEW_SENSORS,"Descobrir sensores"
DELETE_ALL,"Apagar todos"
CREATE_DIY_SENSOR,"Criar Sensor DIY"
CONFIRM_LOAD_ALL_SWITCH_POSITIONS,"Esta operação substituirá todas as posições de verificação das chaves pelas posiçoes atuais. Deseja continuar?"
CHECK_FUNCTION,"Funcão de verificação"
LOAD_ALL_SWITCH_POSITIONS,"Carregar todas as posições das chaves"
CONFIRM_LOAD_ALL_POT_POSITIONS,"Esta operação substituirá todas as posições de verificação dos can. proporcionais pelas posiçoes atuais. Deseja continuar?"
LOAD_ALL_POT_POSITIONS,"Carregar todas as posições dos can. proporcionais"
CALIBRATION_FINISH,"Calibração terminada !"
SXR_CALIBRATION,"Calibração SxR"
CLICK_WHEN_DONE,"Validar"
CALIBRATING,"Calibração..."
SXR_CALIBRATION_DESCRIPTION,"Calibração do receptor SxR"
SLAVE_CH,"CH escravo"
PERCENT,"Percentagem"
DESTINATION,"Destino"
ENABLE,"Lig."
NO_FUNCTION_HINT,"Sem função. Pressione '+' para criar uma !"
SPECIAL_FUNCTIONS,"Funções especiais"
SF,"SF"
DISABLE,"Desl."
ARE_YOU_SURE_YOU_WANT_TO_DELETE_THIS_SPECIAL_FUNCTION,"Deseja eliminar a função ?"
REGISTRATION_OK,"Registo OK"
UID,"UID"
REGISTRATION_ID,"ID de registo"
RX_NAME,"Nome RX"
RECEIVER_CONNECTED,"Receptor conectado"
REGISTRATION,"Registo"
TRIMS,"Trims"
FADE_IN,"Atraso antes"
FADE_OUT,"Atraso depois"
AUTO_DETECT,"Detectar autom."
DISPLAY_DECIMALS_AND_UNIT,"Precisão Tela / Unidade"
SELECT_SENSOR,"Selecionar Sensor"
DIY_SENSOR,"Sensor DIY"
WAITING,"A aguardar"
BAND,"Banda"
RATIO,"Rácio"
MODULE,"Modulo"
PROTOCOL_DECIMALS_AND_UNIT,"Precisão Protocolo / Unidade"
CROSS_TRIM,"Trims cruzados"
MOVE_TRIM_TO_SUBTRIM,"Move trim to subtrim"
INSTANT_TRIM,"Instant trim"
CONFIRM_MOVE_TRIM_TO_SUBTRIM,"Confirm move trim to subtrim?"
MOVE_TRIMS_TO_SUBTRIMS,"Move trims to subtrims"
CONFIRM_MOVE_TRIMS_TO_SUBTRIMS,"Confirm move trims to subtrims?"
INDEPENDENT_PER_FLIGHT_MODE,"Trim por modo de voo"
STICK,"Stick"
CONFIGURE_SCREENS,"Configurar Telas"
TOP_SCREEN,"Top Screen"
CHANGE_LAYOUT,"Change Layout"
FULL_SCREEN,"Full Screen"
WIDGET,"Widget"
SET_MAIN_SCREEN,"Definir tela principal"
CONFIGURE_WIDGET,"Configurar widget"
NEW_SCREEN,"Nova tela"
SCREEN,"Tela"
CHANGE_WIDGET,"Alterar o widget","Alterar"
MOVE_FORWARD,"← Mover para frente"
MOVE_BACKWARD,"→ Mover para trás"
RESET_FLIGHT,"Rein. voo"
RESET_TIMERS,"Rein. Timers"
RESET_TELEMETRY,"Rein. Telemetria"
HOME,"Principal"
ADD_AFTER,"Adicionar após..."
ADD_MIX_FAILED,"Erro ao adicionar mixer !"
MAX_MIXES_REACHED,"Número máximo de mixers atingido!"
FIRST_POSITION,"Primeira posição"
MIXES_LIBRARY,"Bibl. de Mixers"
LOCAL_ADDRESS,"Endereço local"
WAITING_FOR_DEVICES,"Aguardando dispositivos..."
LOCAL_NAME,"Nome local"
SEARCH_DEVICES,"Procurar dispositivos"
BLUETOOTH_DEVICE_CONNECTED,"Dispositivo bluetooth conectado"
CONNECT_LAST_DEVICE,"Conectar ao dispositivo anterior"
DEVICE,"Device"
NO_BLUETOOTH_DEVICE_FOUND,"Dispositivo bluetooth não detetado !"
SPEAKER_MUTE,"Desativar altofalante"
DISCONNECT,"Desconectar"
WAITING_FOR_DEVICE,"Desconectando"
DIST_ADDRESS,"Endereço distante"
CONNECTING,"Conexão em curso"
ROTARY_ENCODER_HALF_STEPS,"Rotary encoder half steps"
BLUETOOTH_AUDIO,"Bluetooth Audio"
NOT_INSTALLED,"Not installed (default)"
INSTALLED_AS_AN_OPTION,"Installed as an option"
RESET_MODULE,"Reiniciar módulo"
HIGH_SPEED,"High Speed"
NORMAL_SPEED,"Normal Speed"
MODEL,"Modelo"
CHECKLIST,"Checklist"
FILE_MANAGER,"Arquivos"
SOUND,"Som e Vibr."
STICKS,"Sticks"
DATE_TIME,"Data e Hora"
HARDWARE,"Hardware"
INFO,"Info"
SERIAL_NUMBER,"Serial number"
RESET_FACTORY_SETTINGS,"Reset factory settings"
CONFIRM_RESET_FACTORY_SETTINGS,"Reset factory settings?"
SYSTEM,"Sistema"
DISPLAY,"Tela"
KEYBOARD,"Teclado"
ENABLE_SLIDER,"Enable slider"
DISABLE_SLIDER,"Disable slider"
ALERTS,"Alertas"
SPECTRUM_ANALYSER,"Analisador de espectros"
BATTERY,"Bateria"
CHECKLIST_WARNING,"Alertas - Checklist"
RADIO_IS_IN_SILENT_MODE,"Rádio em modo silencioso"
RADIO_BATTERY_IS_LOW,"Tensão baixa de bateria do rádio"
THROTTLE_IS_NOT_IDLE,"Acelerador acionado"
ARE_NOT_IN_SAFE_POSITION," estão na posição errada"
IS_NOT_IN_SAFE_POSITION," está na posição errada"
FUNCTION_SWITCHES_ARE_NOT_IN_SAFE_POSITION,"Chaves de função não estão em posição segura"
FAILSAFE_IS_NOT_SET,"Failsafe não definido"
RTC_BATTERY_IS_LOW,"Tensão da bateria RTC baixa"
ALWAYS_ON,"Sempre ligado"
YES,"Sim"
DIGITAL_RSSI,"RSSI numérico"
GYRO,"Gyro"
GYRO_SWITCHES,"Gyro switches"
LANGUAGE,"Idioma"
SWITCHES,"Chaves"
TOP_TOOLBAR,"Barra superior"
NO,"Não"
BRIGHTNESS,"Brilho"
KEYS,"Toques"
WAKE_UP,"Ativar"
DIGITAL_VOLTAGE,"Tensão digital"
SLEEP,"Hibernar"
SYSTEM_ALERTS,"Alertas do sistema"
INACTIVITY,"Tempo de inatividade"
AUTO_ADJUST_FROM_GPS,"Auto ajuste a partir do GPS"
DATE,"Data"
ADJUST_RTC_SPEED,"Adjuste de veloc. RTC"
SHOW_SECONDS,"Mostrar segundos"
IS24HOUR,"Formato horário 24h"
TIME_ZONE,"Fuso horário"
YEAR,"Ano"
MONTH,"Mês"
TIME,"Hora"
NEXT,"Próximo"
GYRO_CALIBRATION,"Calibração do gyro"
PREV,"Anterior"
MDL_LONG,"MDL - toque longo"
HARDWARE_CHECK,"Verificação hardware"
SWITCHES_SETTINGS,"Configurações das chaves"
ADC_INSPECTOR,"Analógico"
SYS_LONG,"SYS - toque longo"
HOME_KEYMAP,"Inic. Keymap"
POTS_SLIDERS_SETTINGS,"Configurações dos Pots/Sliders"
SWITCH_MIDDLE_DETECT_DELAY,"Atraso deteção do centro do inter."
DISP_SHORT,"{DISP_LABEL} - toque curto"
DISP_LONG,"{DISP_LABEL} - toque longo"
SWITCH,"Chave"
ANALOGS_FILTER,"Filtro Analógico"
ANALOGS_CALIBRATION,"Calibrar entradas"
CONFIRM_CONTINUE,"Continuar ?"
THR_NOT_LOW_WARNING,"Diminua o acelerador !"
CHANNELS_ORDER,"Ordem dos canais"
STICKS_MODE,"Modo"
STICKS_MODE_1,"Sticks mode 1"
STICKS_MODE_2,"Sticks mode 2"
STICKS_MODE_3,"Sticks mode 3"
STICKS_MODE_4,"Sticks mode 4"
FIRST_FOUR_CHANNELS_FIXED,"Fixar primeiros quatro canais"
NO_SD_CARD,"Sem cartão SD"
FLASH_BOOTLOADER,"Atualizar Bootloader"
FLASH_INTERNAL_MODULE,"Atualizar o módulo interno"
PLAY,"Tocar"
CURRENT_VERSION,"Versão atual"
FLASH_RECEIVER_BY_INTERNAL_MODULE_OTA,"Atualiz. RX modo sem fio OTA"
FLASH_RECEIVER_BY_EXTERNAL_MODULE_OTA,"Flash RX by ext. OTA"
OTA_UPDATE,"Atualização OTA"
FLASH_EXTERNAL_DEVICE,"Atualiz. dispositivo externo"
OPEN,"Abrir"
FLASH_EXTERNAL_MODULE,"Atualiz. o módulo externo"
FLASH_EXTERNAL_MULTIMODULE,"Flash external multimodule"
MOVE_HERE,"Mover até aqui"
OTA_UPDATE_ERROR,"Erro ao atualizar sem fio OTA"
UNSUPPORTED_RX,"RX não suportado"
MAIN_VOLTAGE,"Tensão Rádio"
DISPLAY_VOLTAGE_RANGE,"Intervalo de tensão do icone"
LOW_VOLTAGE,"Valor de alarme para bateria fraca"
RTC_VOLTAGE,"Tensão da Pilha interna RTC"
UNKNOWN,"Desconhecido"
FIRMWARE,"Firmware"
FIRMWARE_VERSION,"Versão do firmware"
VIDEO_HARDWARE_VERSION,"Video Hardware Version"
RECEIVER,"Receptor"
NON_STABILIZED_RECEIVER,"Non stabilized receiver"
VARIO,"Vario"
MAIN_VOLUME,"Volume principal"
AUDIO_VOLUME,"Volume"
PITCH_AT_ZERO,"Tom a zero"
SEQUENCE,"Sequence"
PITCH_AT_MAX,"Tom máxima"
REPEAT_AT_ZERO,"Repetição"
FIXED_WING,"Avião"
GLIDER,"Planador"
HELI,"Hélicoptero"
MULTI,"Multi"
OTHER,"Outro"
CALIBRATION,"Calibração"
INPUTS,"Entradas"
UPDATE,"Atualizar"
SDCARD,"Cartão SD"
SDCARD_ERROR,"Erro no Cartão SD"
INVALID_DATA,"Dados inválidos"
FILE_BAD_FORMAT,"arquivo desconhecido"
NO_FILES_ON_SD,"Sem arquivos no cartão SD!"
READ_ERROR,"Erro de leitura"
WRITE_ERROR,"Erro de escrita"
WRONG_HEADER,"Cabeçalho errado"
WRONG_FORMAT,"Formato incorreto"
WRONG_CRC,"CRC incorrecto"
WRONG_FILE_SIZE,"Tamanho de arquivo incorreto"
WRONG_FILE,"arquivo incorreto"
ERROR,"Erro"
RUDDER,"Leme"
ELEVATOR,"Profundor"
DELETE,"Eliminar"
MODEL_BITMAP,"Imagem do modelo"
TAIL_TYPE,"Tipo de cauda"
TRADITIONAL,"Tradicional"
VTAIL,"Cauda em V"
REVERSE,"Inverter"
RATE,"Rate"
UP,"Aumentar"
DOWN,"Baixar"
RIGHT,"Right"
LEFT,"Left"
TOP,"Top"
BOTTOM,"Bottom"
TIMER_UP,"Progr."
TIMER_DOWN,"Regr."
LIMIT,"Limite"
SPEED,"Velocidade"
SET_DATE,"Definir data"
SET_TIME,"Definir hora"
SILENT_MODE,"Modo silencioso"
KEY,"Toque"
ALARM,"Alarme"
TRIM,"Trim"
SETUP_CHANNEL,"Definir canais"
LOGIC_SWITCH,"Chaves lógicas"
CREATE_MODEL,"Criar modelo"
CANCEL,"Cancelar"
DELAY,"Atraso"
SAVE,"Salvar"
LS,"LS"
FS,"FS"
OP,"OP"
TRAINER_MASTER,"Mestre"
TRAINER_SLAVE,"Escravo"
LINK_MODE,"Ligação"
TRAINEE_CHANNEL,"Canal de trein."
SUNDAY,"Domingo"
MONDAY,"Segunda"
TUESDAY,"Terça"
WEDNESDAY,"Quarta"
THURSDAY,"Quinta"
FRIDAY,"Sexta"
SATURDAY,"Sábado"
JANUARY,"Janeiro"
FEBRUARY,"Fevereiro"
MARCH,"Março"
APRIL,"Abril"
MAY,"Maio"
JUNE,"Junho"
JULY,"Julho"
AUGUST,"Agosto"
SEPTEMBER,"Setembro"
OCTOBER,"Outubro"
NOVEMBER,"Novembro"
DECEMBER,"Dezembro"
RECEIVER_TYPE,"Tipo de receptor"
BACK,"Voltar"
INTERNAL,"Interno"
EXTERNAL,"Externo"
RF_PROTOCOL,"Protocolo RF"
EXTERNAL_RF,"RF Externo"
LOGIC_SWITCH_RANGE,"Intervalo"
PLAY_SEQUENCE,"Tocar do arquivo"
WAIT_DURATION,"Wait duration"
WAIT_CONDITION,"Wait condition"
CONFIRM_DELETE_LINE,"Are you sure you want to delete this line?"
ADD_A_NEW_LINE_IN_SEQUENCE,"Add a new line in sequence"
PLAY_TEXT,"Play text"
GO_TO_SCREEN,"Go to screen"
LOCK_TOUCHSCREEN,"Lock touchscreen"
BLANK,"Vazio"
CALIBRATE,"Calibrar"
CLICK_CALIBRATE_TO_START,"Pressione 'Calibrar' para começar"
CENTER_STICKS_POTS_SLIDERS_AND_CLICK_NEXT,"Central. os sticks/pots e pressione 'Próximo'"
MOVE_STICKS_POTS_SLIDERS_AND_CLICK_NEXT,"Mova os sticks/pots em todas as direçoes e pressione 'Próximo'"
CALIBRATION_COMPLETE_CLICK_CONFIRM_TO_STORE,"Calibração concluída, pressione 'Confirmar' para sair"
BACKLIGHT,"Iluminação da tela"
DARK_MODE,"Modo escuro"
HIGHLIGHT_COLOR,"Modo contraste"
MODEL_NAME,"Nome"
NO_AIRBRAKES,"Sem Air-brake"
CURRENT,"Corrente"
VFAS,"VFAS"
TEMPERATURE_2,"Temp2"
TEMPERATURE_1,"Temp1"
FUEL,"Combustível"
ACCX,"AccX"
ACCY,"AccY"
ACCZ,"AccZ"
GPS_ALT,"Alt. GPS"
GPS_SPEED,"Velocidade GPS"
GPS_COURSE,"Curso GPS"
AIR_SPEED,"Velocidade Ar"
BATTERY_1_VOLTAGE,"Bat1 Voltage"
BATTERY_1_CURRENT,"Bat1 Current"
BATTERY_2_VOLTAGE,"Bat2 Voltage"
BATTERY_2_CURRENT,"Bat2 Current"
RBOX_STATE_1,"RBOX S1"
RBOX_STATE_2,"RBOX S2"
BATTERY_1_CONSUMPTION,"Bat1 Cons."
BATTERY_2_CONSUMPTION,"Bat2 Cons."
BATTERY_1_TEMPERATURE,"Bat1 temp."
BATTERY_2_TEMPERATURE,"Bat2 temp."
SD1_CHANNEL,"SD1CH"
ESC_VOLTAGE,"Volt ESC"
ESC_CURRENT,"Corrente ESC"
ESC_RPM,"RPM ESC"
ESC_CONSUMPTION,"Consumo ESC"
ESC_TEMPERATURE,"Temp. ESC"
RB_OUTPUT_STATE,"Output State"
RB_CH1_A,"CH1 Current"
RB_CH2_A,"CH2 Current"
RB_CH3_A,"CH3 Current"
RB_CH4_A,"CH4 Current"
RB_CH5_A,"CH5 Current"
RB_CH6_A,"CH6 Current"
RB_CH7_A,"CH7 Current"
RB_CH8_A,"CH8 Current"
RB_CH9_A,"CH9 Current"
RB_OUTPUT_1_VOLTAGE,"Output1 Voltage"
RB_OUTPUT_2_VOLTAGE,"Output2 Voltage"
GASSUIT_TEMP1,"GASS Temp1"
GASSUIT_TEMP2,"GASS Temp2"
GASSUIT_SPEED,"GASS RPM"
GASSUIT_RES_VOL,"GASS Vol. Res."
GASSUIT_RES_PERC,"GASS Res. %"
GASSUIT_FLOW,"GASS débito"
GASSUIT_MAX_FLOW,"GASS débito máx"
GASSUIT_AVG_FLOW,"GASS débito médio"
BEC_VOLTAGE,"BEC Voltage"
BEC_CURRENT,"BEC Current"
R9M_POWER,"Pot. R9M"
OK,"OK"
FLAP,"Flaps"
AIRBRAKE,"Air-brake"
FILE,"arquivo"
FLASH_SPORT,"Atualizar por S.Port"
PLAY_VALUE,"Reproduzir valor"
CATEGORY,"Categoria"
MEMBER,"Fonte"
ANALOGS,"Analógicos"
SWITCHES_POSITIONS,"Posição das chaves"
TRIMS_POSITIONS,"Posição dos trims"
CONST_VALUE,"Constante"
SLIDER_LEFT,"Pot. esquerdo"
SLIDER_RIGHT,"Pot. direito"
RIGHT_HORIZONTAL,"Horizontal direito"
TRIM_RIGHT_HORIZONTAL_LEFT,"Trim Dir. Hor. Esq."
TRIM_RIGHT_HORIZONTAL_RIGHT,"Trim Dir. Hor. Dir."
RIGHT_VERTICAL,"Vertical direito"
TRIM_RIGHT_VERTICAL_UP,"Trim Dir. Vert. Cima"
TRIM_RIGHT_VERTICAL_DOWN,"Trim Dir. Vert. Baixo"
LEFT_VERTICAL,"Vertical esquerdo"
TRIM_LEFT_VERTICAL_UP,"Trim Esq. Vert. Cima"
TRIM_LEFT_VERTICAL_DOWN,"Trim Esq. Vert. Baixo"
LEFT_HORIZONTAL,"Horizontal esquerdo"
TRIM_LEFT_HORIZONTAL_LEFT,"Trim Esq. Hor. Esq."
TRIM_LEFT_HORIZONTAL_RIGHT,"Trim Esq. Hor. Dir."
TRIM_T5_LEFT,"T5 E"
TRIM_T5_RIGHT,"T5 D"
TRIM_T6_LEFT,"T6 E"
TRIM_T6_RIGHT,"T6 D"
TRIM_T5_DOWN,"T5 B"
TRIM_T5_UP,"T5 H"
TRIM_T6_DOWN,"T6 B"
TRIM_T6_UP,"T6 H"
DIFFERENTIAL,"Desloc."
SLOW,"Slow"
MULTIPLY,"Multiplicar"
WEIGHT_UP,"Aumentar peso"
WEIGHT_DOWN,"Diminuir peso"
OUTPUT,"Saída"
CLOSE,"Fechar"
FLASHING,"Atualização em curso..."
RESET_DEVICE,"Reiniciar dispositivo..."
LOW_BATTERY,"Bateria do rádio fraca!"
VOLTAGE_CALIBRATION,"Calibrar a tensão"
STARTING_MODEL_WIZARD,"Iniciando o assistente..."
RADIO_DATA_LOAD,"Carregar os parametros"
DEFAULT_SYSTEM_SETTINGS_RESTORED,"Parâmetros por defeito carregados."
FLIGHT_MODE_SHORT,"MV"
PREFLIGHT_WARNING,"Avisos pré-voo"
NEW_MODEL,"Novo modelo"
STARTING_CALIBRATION,"Iniciar a calibração..."
NO_SD_CARD_WARNING,"Alerta falta cartão SD"
ADD_CURVE_ERROR,"Falha ao adicionar curva !"
STEP,"Passo"
AILERON,"Aileron"
ELEVON,"Elevon"
SPACE_WITH_CHANNEL," canal"
QUESTION_SWAP_SSS_AND_SSS_CHANNELS_SETTINGS,"Trocar os parametros de %s e %s ?"
INPUT,"Entradas"
ELE_TO_AIL,"Prf => Ail"
THR_CURVE,"Curva de aceleração"
PITCH_CURVE,"Curva de pitch"
THROTTLE_CUT,"Cortar acelerador"
AIL_TO_RUD,"Ail => Leme"
ELE_TO_CAMBER,"Prf => Camber"
RUD_TO_AIL,"Leme => Ail"
RUD_TO_ELE,"Leme => Prf"
AIL_TO_FLAPS,"Ail => Flaps"
FLAPS_TO_ELE,"Flaps => Prf"
FREE_MIX,"Mixer livre"
SNAP_ROLL,"Snap Roll"
TEST_MIX,"Mixer de Teste"
DELAY_UP,"Atraso de subida"
DELAY_MID,"Atraso meio"
DELAY_DOWN,"Atraso de descida"
NO_DELAY,"Sem atraso"
V_TAIL,"Cauda em V"
DATA_REFUSED,"Dados recusados"
DEVICE_NOT_RESPONDING,"Sem resposta do dispositivo"
NO_OUTPUT,"Sem saídas"
WEIGHT_RATES,"Pesos"
OTHERWISE,"Otherwise"
AUTO,"Auto"
TRIM_STEP_FINE,"Fino"
TRIM_STEP_COARSE,"Grosso"
TRIM_STEP_EXPONENTIAL,"Exponencial"
TRIM_STEP_EXTRA_FINE,"Extra fino"
TRIM_STEP_MEDIUM,"Médio"
TRIM_STEP_CUSTOM,"Person."
SCREENSHOT,"Foto da tela"
SILENT,"Silencioso"
ALARMS_ONLY,"Alarmes"
OFTEN,"Frequent."
ALWAYS,"Sempre"
NEVER,"Never"
WHEN_TELEMETRY_STREAMING,"When telemetry streaming"
VOICE1,"Voice 1 (Main)"
VOICE2,"Voice 2"
VOICE3,"Voice 3"
NEGATIVE,"Negativo"
POSITIVE,"Positivo"
