TRANSLATION_NAME,"Česky"
CLONE_MODEL_SUCCESSFULLY,"Model je úspěšně zkopírován"
FILENAME_TOO_LONG,"Název souboru je příliš dlouhý!"
RX_STILL_ON_SELECT_ANOTHER_MODEL,"Přijímač je stále zapnutý, jste si jisti přepnutím modelu?"
CONFIRM_SELECT_ANOTHER_MODEL,"Jste si jisti, že chcete vybrat jiný model?"
FILE_NAME,"Název souboru"
MODEL_TYPE,"Typ modelu"
CONFIRM,"Potvrdit"
SET_CURRENT_MODEL,"Zvolit model"
UNCATEGORIZED,"Nezařazeno"
CHANGE_FOLDER,"Zmenit adresář"
OPERATION,"Operation"
OPERATION_FAILED,"Operace selhala!"
DELETE_FOLDER,"Smazat adresář"
RENAME_FOLDER,"Přejmenovat adresář"
CREATE_FOLDER,"Vytvořit adresář"
CONFIRM_DELETE_FLIGHT_MODE,"Opravdu chete smazat tento letový režim?"
MOVE,"Posunout"
EDIT,"Upravit"
ADD,"Přidat"
TELEMETRY_PORT,"Telem. port"
WARNING,"Varování"
ERRORS,"Errors"
OPTIONS,"Možnosti"
CONFIGURE,"Konfigurovat"
WAITING_FOR_RECEIVER,"Čekám na přijímač..."
PIN,"Pin"
TELEMETRY,"Telemetrie"
RX_SETTINGS,"Nastavení RX"
NO_RESPONSE_FROM_RECEIVER,"Přijímač neodpovídá"
SBUS_OUT,"SBUS Out"
SBUS_IN,"SBUS In"
TELEMETRY_25_MW,"Telemetrie 25mW"
HIGH_PWM_SPEED,"Vysoká rychlost PWM"
FLIGHT_DATA_RECORDER,"Černá skříňka"
RX_HAS_NO_FLIGHT_DATA_RECORD,"Přijímač nemá nahraná žádná data."
DEVICE_CONFIG,"Nast. zařízení"
CONFIRM_DELETE_TIMER,"Opravdu chete smazat tyto stopky?"
TIMER,"Stopky"
MODE,"Režim"
PASTE,"Vložit"
TIMERS,"Stopky"
COPY,"Kopírovat"
NO_TIMER_HINT,"Žádné stopky. Prosím zvole tlačítko přidat pro vytvoření!"
ANTENNA,"Anténa"
POWER_HAS_BEEN_CHANGED_PLEASE_REBIND,"Výkon byl změněn, prosím přepárujte"
NO_RESPONSE_FROM_MODULE,"Modul neodpovídá!"
POWER,"Výkon"
BAUDRATE,"Baudrate"
WAITING_FOR_MODULE,"Čekám na modul..."
TX_SETTINGS,"Nastavení TX"
MIXES,"Mixér"
CHANNELS,"Kanály"
FLIGHT_MODE,"Letový režim"
D,"V"
CONFIRM_DELETE_MIX,"Opravdu chcete smazat tento mix?"
CONFIRM_DELETE_SSS,"Are you sure you want to delete %s?"
NONE,"Žádný"
NO_MIX_HINT,"Žádný mix. Prosím zvole tlačítko přidat pro vytvoření!"
TYPE,"Typ"
SHARE,"Sdílet"
RX,"RX"
RACING_MODE,"Závodní mód"
RANGE_CHECK,"Kontrola dosahu"
EXTERNAL_MODULE,"Externí modul"
BIND_OK,"Bind OK"
BINDING_3DOTS,"Párovaní..."
BIND,"Párovat"
FAILSAFE,"Failsafe"
INTERNAL_MODULE,"Interní modul"
SET_FAILSAFE,"Nast. failsafe"
RESET_BIND,"Reset párování"
FACTORY_RESET,"Factory reset"
RF_SYSTEM,"RF systém"
OWNER_REGISTRATION_ID,"Registrační ID vlastníka"
SELECT_DEVICE,"Vyber zařízení"
REGISTER,"Registrovat"
VALID_FRAME_RATE,"VFR"
STATE,"Stav"
PROTOCOL,"Protokol"
ARE_YOU_SURE_TO_RESET_THIS_RECEIVER,"Opravdu chete resetovat tento přijímač ?"
SET,"Nastavit"
EXPO,"Expo"
UNIT_POINTS_COUNT,"body"
WEIGHT,"Váha"
POINTS,"Bodů"
OFFSET,"Offset"
AUTO_OFFSET,"Auto offset"
OFFSET_WHEN_ACTIVE,"Offset, když je line aktivní"
OFFSET_WHEN_INACTIVE,"Offset, když je line neaktivní"
SMOOTH,"Vyhladit"
POINT,"Bod"
POINTS_COUNT,"Počet bodů"
EASY_MODE,"Snadný režim"
LOGIC_SWITCHES,"Logické spínače","Logic sp."
ARE_YOU_SURE_YOU_WANT_TO_DELETE_THIS_LOGIC_SWITCH,"Opravdu chcete smazat tento logický spínač?"
NO_LOGIC_SWITCH_HINT,"Žádný logický spínač. Prosím zvole tlačítko přidat pro vytvoření!"
START_CONDITION,"Startovací podmínka"
STOP_CONDITION,"Zastavovaci podmínka"
TIMER_EDIT,"Úprava stopek"
PERSISTENT,"Trvalý"
START_VALUE,"Startovací hodnota"
AUDIO_ACTIONS,"Zvukové akce"
AUDIO_ACTION,"Zvuková akce"
ADD_A_NEW_AUDIO_ACTION,"Přidat novou zvukovou akci"
ALARM_VALUE,"Alarmová hodnota"
HAPTIC,"Vibrace"
COUNTDOWN,"Odpočet"
BEEP_COUNTDOWN,"Beep odpočet"
START,"Start"
PLAY_FILE,"Přehrát soubor"
SPACE_WITH_OTHERS," jiné..."
CONFIRM_DELETE_CURVE,"Jste si jistí smazáním této křivky?"
CURVE_USED_BY,"Tato křivka je užívaná v těchto mixech:"
AND_WITH_TWO_SPACES," a "
CURVES,"Křivky"
VARS,"Vars"
NO_VAR_HINT,"Zatím bez var. Chcete-li jej vytvořit, stiskněte tlačítko Přidat!"
ARE_YOU_SURE_YOU_WANT_TO_DELETE_THIS_VAR,"Opravdu chcete smazat tuto proměnnou?"
NO_CURVE_HINT,"Žádná křivka. Prosím zvolte tlačítko přidat pro vytvoření!"
CONFIRM_RESET_MIXES,"Tato operace způsobí reset všech mixů.\nOpravdu chcete pokračovat?"
ELEVATORS,"Výškovka"
YAW,"Bočení"
SWASH_PLATE,"Cyklika"
EDIT_MODEL,"Upravit model"
PICTURE,"Obrázek"
TAIL,"Ocas"
AILERONS,"Křidélka"
PITCH,"Klopení"
THROTTLE,"Plyn"
FLAPS,"Klapky"
ENGINE,"Motor"
RUDDERS,"Směrovka"
ROLL,"Klonění"
FUNCTION_SWITCHES,"Funkční přepínače"
RESET_ALL_MIXES,"Reset všech mixů"
CREATE_CALCULATED_SENSOR,"Vytvořit vypočtený senzor"
CONFIRM_DELETE_SENSORS,"Všechny senzory budou odstraněny.\nPřejete si pokračovat?"
ON,"Zap"
OFF,"Vyp"
DISCOVER_NEW_SENSORS,"Vyhledat nové senzory"
DELETE_ALL,"Smazat vše"
CREATE_DIY_SENSOR,"Vytvořit DIY senzor"
CONFIRM_LOAD_ALL_SWITCH_POSITIONS,"Tato operace zamění pozice všech přepínačů s aktuální pozicí. Chcete opravdu pokračovat?"
CHECK_FUNCTION,"Zkontrolovat funkci"
LOAD_ALL_SWITCH_POSITIONS,"Načíst pozice všech přepínačů"
CONFIRM_LOAD_ALL_POT_POSITIONS,"Tato operace zamění pozice všech potenciometrů s aktuální pozicí. Chcete opravdu pokračovat?"
LOAD_ALL_POT_POSITIONS,"Načíst pozice všech potenciometrů"
CALIBRATION_FINISH,"Kalibrace dokončena!"
SXR_CALIBRATION,"Kalibrace SxR"
CLICK_WHEN_DONE,"Hotovo"
CALIBRATING,"Kalibruji..."
SXR_CALIBRATION_DESCRIPTION,"Popis kalibrace SxR"
SLAVE_CH,"Žák CH"
PERCENT,"Procent"
DESTINATION,"Cíl"
ENABLE,"Zap"
NO_FUNCTION_HINT,"Žádná funkce. Prosím zvole tlačítko přidat pro vytvoření!"
SPECIAL_FUNCTIONS,"Speciální funkce"
SF,"SF"
DISABLE,"Vyp"
ARE_YOU_SURE_YOU_WANT_TO_DELETE_THIS_SPECIAL_FUNCTION,"Opravdu chete smazat tuto speciální funkci?"
REGISTRATION_OK,"Registrace OK"
UID,"UID"
REGISTRATION_ID,"Registrační ID"
RX_NAME,"Jméno RX"
RECEIVER_CONNECTED,"Přijímač připojen"
REGISTRATION,"Registrace"
TRIMS,"Trimy"
FADE_IN,"Náběh"
FADE_OUT,"Sestup"
AUTO_DETECT,"Autodetekce"
DISPLAY_DECIMALS_AND_UNIT,"Přesnost zobrazení / jednotka"
SELECT_SENSOR,"Vyberte senzor"
DIY_SENSOR,"DIY senzor"
WAITING,"Čekám"
BAND,"Pásmo"
RATIO,"Poměr"
MODULE,"Modul"
PROTOCOL_DECIMALS_AND_UNIT,"Přesnost protokolu / jednotka"
CROSS_TRIM,"Přiřazení trimů"
MOVE_TRIM_TO_SUBTRIM,"Přesunout trim do subtrimu"
INSTANT_TRIM,"Instant trim"
CONFIRM_MOVE_TRIM_TO_SUBTRIM,"Potvrdte přesun trim do subtrimu?"
MOVE_TRIMS_TO_SUBTRIMS,"Přesunout trimy do subtrimů"
CONFIRM_MOVE_TRIMS_TO_SUBTRIMS,"Potvrdte přesun trimů do subtrimů?"
INDEPENDENT_PER_FLIGHT_MODE,"Individuální trim podle let. režimu"
STICK,"Páka"
CONFIGURE_SCREENS,"Nastavení obrazovek"
TOP_SCREEN,"Horní obrazovka"
CHANGE_LAYOUT,"Změnit rozvržení"
FULL_SCREEN,"Celá obrazovka"
WIDGET,"Widget"
SET_MAIN_SCREEN,"Nastavit hlavní obrazovku"
CONFIGURE_WIDGET,"Konfigurovat widget"
NEW_SCREEN,"Nová obrazovka"
SCREEN,"Obrazovka"
CHANGE_WIDGET,"Změnit Widget"
MOVE_FORWARD,"← Posunout vpřed"
MOVE_BACKWARD,"→ Posunout vzad"
RESET_FLIGHT,"Resetovat let"
RESET_TIMERS,"Resetovat stopky"
RESET_TELEMETRY,"Resetovat telemetrii"
HOME,"Domů"
ADD_AFTER,"Přidat za..."
ADD_MIX_FAILED,"Přidání mixu selhalo!"
MAX_MIXES_REACHED,"Byl dosažen maximální počet mixů!"
FIRST_POSITION,"První pozice"
MIXES_LIBRARY,"Knihovna mixů"
LOCAL_ADDRESS,"Místní adresa"
WAITING_FOR_DEVICES,"Čekám na zařízeni..."
LOCAL_NAME,"Místní název"
SEARCH_DEVICES,"Hledat zařízení"
BLUETOOTH_DEVICE_CONNECTED,"Zařízení bluetooth připojeno"
CONNECT_LAST_DEVICE,"Připojit poslední zařízení"
DEVICE,"Zažízení"
NO_BLUETOOTH_DEVICE_FOUND,"Zařízení bluetooth nebylo nalezeno!"
SPEAKER_MUTE,"Ztlumení reproduktoru"
DISCONNECT,"Odpojeno"
WAITING_FOR_DEVICE,"Čekám na spojení"
DIST_ADDRESS,"Vzdálená adresa"
CONNECTING,"Připojeno"
ROTARY_ENCODER_HALF_STEPS,"Půlkroky rotačního enkodéru"
BLUETOOTH_AUDIO,"Bluetooth Audio"
NOT_INSTALLED,"Nenainstalováno (výchozí)"
INSTALLED_AS_AN_OPTION,"Instalováno jako volitelná možnost"
RESET_MODULE,"Reset modulu"
HIGH_SPEED,"Vysoká rychlost"
NORMAL_SPEED,"Normální rychlost"
MODEL,"Model"
CHECKLIST,"Kontrolní seznam"
FILE_MANAGER,"Prohl. souborů"
SOUND,"Zvuky & Vibr."
STICKS,"Páky"
DATE_TIME,"Datum & Čas"
HARDWARE,"Hardware"
INFO,"Info"
SERIAL_NUMBER,"Sériové číslo"
RESET_FACTORY_SETTINGS,"Reset do továrního nastavení"
CONFIRM_RESET_FACTORY_SETTINGS,"Resetovat do továrního nastavení?"
SYSTEM,"Systém"
DISPLAY,"Displej"
KEYBOARD,"Klávesnice"
ENABLE_SLIDER,"Povolit slider"
DISABLE_SLIDER,"Zakázat slider"
ALERTS,"Alarmy"
SPECTRUM_ANALYSER,"Spektrum"
BATTERY,"Baterie"
CHECKLIST_WARNING,"Varování kontrolního seznamu"
RADIO_IS_IN_SILENT_MODE,"Rádio je v tichém režimu"
RADIO_BATTERY_IS_LOW,"Baterie rádia je vybitá"
THROTTLE_IS_NOT_IDLE,"Plyn není na nule"
ARE_NOT_IN_SAFE_POSITION," jsou není v bezpečné pozici"
IS_NOT_IN_SAFE_POSITION," je není v bezpečné pozici"
FUNCTION_SWITCHES_ARE_NOT_IN_SAFE_POSITION,"Tlačítka funkcí nejsou v bezpečné pozici."
FAILSAFE_IS_NOT_SET,"Failsafe není nastaven"
RTC_BATTERY_IS_LOW,"Baterie RTC je vybitá"
ALWAYS_ON,"Vždy zap"
YES,"Ano"
DIGITAL_RSSI,"Digitální RSSI"
GYRO,"Gyro"
GYRO_SWITCHES,"Přepínače Gyra"
LANGUAGE,"Jazyk"
SWITCHES,"Přepínače"
TOP_TOOLBAR,"Horní panel"
NO,"Ne"
BRIGHTNESS,"Jas"
KEYS,"Klávesy"
WAKE_UP,"Probudit"
DIGITAL_VOLTAGE,"Napětí čísly"
SLEEP,"Spánek"
SYSTEM_ALERTS,"Systemové alarmy"
INACTIVITY,"Nečinnost"
AUTO_ADJUST_FROM_GPS,"Automaticky nastavit z GPS"
DATE,"Datum"
ADJUST_RTC_SPEED,"Upravit rychlost RTC"
SHOW_SECONDS,"Zobrazit sekundy"
IS24HOUR,"24 hodinový čas"
TIME_ZONE,"Časová zóna"
YEAR,"Rok"
MONTH,"Měsíc"
TIME,"Čas"
NEXT,"Další"
GYRO_CALIBRATION,"Kalibrace Gyra"
PREV,"Zpět"
MDL_LONG,"MDL dlouze"
HARDWARE_CHECK,"Kontrola hardwaru"
SWITCHES_SETTINGS,"Nastavení přepínačů"
ADC_INSPECTOR,"Kontrola hodnot ADC"
SYS_LONG,"SYS dlouze"
HOME_KEYMAP,"Mapování tlačítek"
POTS_SLIDERS_SETTINGS,"Nastavení pot/sliderů"
SWITCH_MIDDLE_DETECT_DELAY,"Zpož. pro detekci střed. polohy"
DISP_SHORT,"{DISP_LABEL} krátce"
DISP_LONG,"{DISP_LABEL} dlouze"
SWITCH,"Přepínač"
ANALOGS_FILTER,"Analogový filtr"
ANALOGS_CALIBRATION,"Kalibrace pák"
CONFIRM_CONTINUE,"Opravdu chete pokračovat?"
THR_NOT_LOW_WARNING,"Plyn není ve spodní pozici!"
CHANNELS_ORDER,"Pořadí kanálů"
STICKS_MODE,"Mód pák"
STICKS_MODE_1,"Mód 1"
STICKS_MODE_2,"Mód 2"
STICKS_MODE_3,"Mód 3"
STICKS_MODE_4,"Mód 4"
FIRST_FOUR_CHANNELS_FIXED,"První 4 kanály fixní"
NO_SD_CARD,"Žádná SD carta"
FLASH_BOOTLOADER,"Flash Bootloader"
FLASH_INTERNAL_MODULE,"Flash interního modulu"
PLAY,"Přehrát"
CURRENT_VERSION,"Stávající verze"
FLASH_RECEIVER_BY_INTERNAL_MODULE_OTA,"Flash RX přes int. OTA"
FLASH_RECEIVER_BY_EXTERNAL_MODULE_OTA,"Flash RX by ext. OTA"
OTA_UPDATE,"Aktualizace OTA"
FLASH_EXTERNAL_DEVICE,"Flash externího zařízení"
OPEN,"Otevřít"
FLASH_EXTERNAL_MODULE,"Flash externího modulu"
FLASH_EXTERNAL_MULTIMODULE,"Flash external multimodule"
MOVE_HERE,"Posunout zde"
OTA_UPDATE_ERROR,"Chyba aktualizace OTA"
UNSUPPORTED_RX,"Nepodporovaný RX"
MAIN_VOLTAGE,"Hlavní napětí"
DISPLAY_VOLTAGE_RANGE,"Zobrazovaný rozsah napětí"
LOW_VOLTAGE,"Alarm nízkého napětí"
RTC_VOLTAGE,"Napětí RTC"
UNKNOWN,"Neznámý"
FIRMWARE,"Firmware"
FIRMWARE_VERSION,"Verze firmware"
VIDEO_HARDWARE_VERSION,"Verze video hardware"
RECEIVER,"Přijímač"
NON_STABILIZED_RECEIVER,"Přijímač bez stabilizace"
VARIO,"Vario"
MAIN_VOLUME,"Hlavní hlasitost"
AUDIO_VOLUME,"Hlasitost"
PITCH_AT_ZERO,"Tón nuly"
SEQUENCE,"Sekvence"
PITCH_AT_MAX,"Tón max"
REPEAT_AT_ZERO,"Opakování"
FIXED_WING,"Letoun"
GLIDER,"Větroň"
HELI,"Heli"
MULTI,"Multi"
OTHER,"Jiný"
CALIBRATION,"Kalibrace"
INPUTS,"Vstupy"
UPDATE,"Aktualizace"
SDCARD,"SD karta"
SDCARD_ERROR,"chyba SD karty"
INVALID_DATA,"Špatná data"
FILE_BAD_FORMAT,"Neznámý soubor"
NO_FILES_ON_SD,"Na SD nejsou soubory!"
READ_ERROR,"Chyba čtení"
WRITE_ERROR,"Chyba zápisu"
WRONG_HEADER,"Špatná hlavicka"
WRONG_FORMAT,"Špatný formát"
WRONG_CRC,"Špatný CRC"
WRONG_FILE_SIZE,"Špatná velikost souboru"
WRONG_FILE,"Špatný soubor"
ERROR,"Chyba"
RUDDER,"Směrovka"
ELEVATOR,"Výškovka"
DELETE,"Smazat"
MODEL_BITMAP,"Obrázek modelu"
TAIL_TYPE,"Typ ocasu"
TRADITIONAL,"Tradiční"
VTAIL,"V-Tail"
REVERSE,"Reverse"
RATE,"Rate"
UP,"Nahoře"
DOWN,"Dole"
RIGHT,"Right"
LEFT,"Left"
TOP,"Top"
BOTTOM,"Bottom"
TIMER_UP,"Nahoru"
TIMER_DOWN,"Dolu"
LIMIT,"Limit"
SPEED,"Rychlost"
SET_DATE,"Nastavit datum"
SET_TIME,"Nastavit čas"
SILENT_MODE,"Tíchý mód"
KEY,"Klávesa"
ALARM,"Alarmy"
TRIM,"Trim"
SETUP_CHANNEL,"Nastavení kanálů"
LOGIC_SWITCH,"Logický spínač"
CREATE_MODEL,"Vytvořit model"
SAVE,"ULOŽIT"
LS,"LS"
FS,"FS"
OP,"OP"
TRAINER_MASTER,"Učitel"
TRAINER_SLAVE,"Žák"
LINK_MODE,"Spojení"
TRAINEE_CHANNEL,"Kanál trenéra"
SUNDAY,"Neděle"
MONDAY,"Pondělí"
TUESDAY,"Úterý"
WEDNESDAY,"Středa"
THURSDAY,"Čtvrtek"
FRIDAY,"Pátek"
SATURDAY,"Sobota"
JANUARY,"Leden"
FEBRUARY,"Únor"
MARCH,"Březen"
APRIL,"Duben"
MAY,"Květen"
JUNE,"Červen"
JULY,"Červenec"
AUGUST,"Srpen"
SEPTEMBER,"Září"
OCTOBER,"Říjen"
NOVEMBER,"Listopad"
DECEMBER,"Prosinec"
CANCEL,"Zrušit"
DELAY,"Zpoždění"
RECEIVER_TYPE,"Typ přijímače"
BACK,"Zpět"
INTERNAL,"Vnitřní"
EXTERNAL,"Vnější"
RF_PROTOCOL,"RF protokol"
EXTERNAL_RF,"Externí RF"
LOGIC_SWITCH_RANGE,"Rozsah"
PLAY_SEQUENCE,"Přehrát stopu"
WAIT_DURATION,"Doba čekání"
WAIT_CONDITION,"Podmínka čekání"
CONFIRM_DELETE_LINE,"Opravdu chcete smazat tento řádek?"
ADD_A_NEW_LINE_IN_SEQUENCE,"Přidejte nový řádek v pořadí"
PLAY_TEXT,"Přehrát text"
GO_TO_SCREEN,"Jít na stránku"
LOCK_TOUCHSCREEN,"Zámek Touchscreen"
BLANK,"Prázdný"
CALIBRATE,"Kalibrovat"
CLICK_CALIBRATE_TO_START,"Pro spuštění zmáčkněte 'Kalibrovat'"
CENTER_STICKS_POTS_SLIDERS_AND_CLICK_NEXT,"Vycentrujte páky/pot/slidery, zmáčkněte 'Další' když hotovo"
MOVE_STICKS_POTS_SLIDERS_AND_CLICK_NEXT,"Hýbejte pákami/poty/slidery do maxim, zmáčkněte 'Další' když hotovo","Hýbejte pákami/poty/slidery do maxim, 'Další' když hotovo"
CALIBRATION_COMPLETE_CLICK_CONFIRM_TO_STORE,"Kalibrace je kompletní, zmáčkněte 'Potvrdit' pro uložení do nastavení rádia","Kalibrace je kompletní, zmáčkněte 'Potvrdit' pro uložení"
BACKLIGHT,"Podsvícení"
DARK_MODE,"Tmavý režim"
HIGHLIGHT_COLOR,"Barva zvýraznění"
MODEL_NAME,"Název"
NO_AIRBRAKES,"Bez vzduch brzd"
CURRENT,"Proud"
VFAS,"VFAS"
TEMPERATURE_2,"Tepl 2"
TEMPERATURE_1,"Tepl 1"
FUEL,"Palivo"
ACCX,"AccX"
ACCY,"AccY"
ACCZ,"AccZ"
GPS_ALT,"GPS Alt"
GPS_SPEED,"GPS Rychlost"
GPS_COURSE,"GPS Směr"
AIR_SPEED,"Vzdušná rychlost"
BATTERY_1_VOLTAGE,"Napětí Bat1"
BATTERY_1_CURRENT,"Proud Bat1"
BATTERY_2_VOLTAGE,"Napětí Bat2"
BATTERY_2_CURRENT,"Proud Bat2"
RBOX_STATE_1,"RBOX S1"
RBOX_STATE_2,"RBOX S2"
BATTERY_1_CONSUMPTION,"Spotř. Bat1"
BATTERY_2_CONSUMPTION,"Spotř. Bat2"
BATTERY_1_TEMPERATURE,"Bat1 temp."
BATTERY_2_TEMPERATURE,"Bat2 temp."
SD1_CHANNEL,"SD1CH"
ESC_VOLTAGE,"Napětí ESC"
ESC_CURRENT,"Proud ESC"
ESC_RPM,"ESC RPM"
ESC_CONSUMPTION,"Spotřeba ESC"
ESC_TEMPERATURE,"Teplota ESC"
RB_OUTPUT_STATE,"Stav výstupu"
RB_CH1_A,"Proud CH1"
RB_CH2_A,"Proud CH2"
RB_CH3_A,"Proud CH3"
RB_CH4_A,"Proud CH4"
RB_CH5_A,"Proud CH5"
RB_CH6_A,"Proud CH6"
RB_CH7_A,"Proud CH7"
RB_CH8_A,"Proud CH8"
RB_CH9_A,"Proud CH9"
RB_OUTPUT_1_VOLTAGE,"Napětí Výstup 1"
RB_OUTPUT_2_VOLTAGE,"Napětí Výstup 2"
GASSUIT_TEMP1,"GASS Tepl 1"
GASSUIT_TEMP2,"GASS Tepl 2"
GASSUIT_SPEED,"GASS RPM"
GASSUIT_RES_VOL,"GASS Res. Vol."
GASSUIT_RES_PERC,"GASS Res. %"
GASSUIT_FLOW,"GASS průtok"
GASSUIT_MAX_FLOW,"GASS max průtok"
GASSUIT_AVG_FLOW,"GASS prům průtok"
BEC_VOLTAGE,"Napětí BEC"
BEC_CURRENT,"Proud BEC"
R9M_POWER,"Výkon R9M"
OK,"OK"
FLAP,"Klapky"
AIRBRAKE,"Vzdušná brzda"
FILE,"Soubor"
FLASH_SPORT,"Flash S.portem"
PLAY_VALUE,"Přeh. hodnotu"
CATEGORY,"Kategorie"
MEMBER,"Položka"
ANALOGS,"Analogy"
SWITCHES_POSITIONS,"Pozice přepínačů"
TRIMS_POSITIONS,"Pozice trimů"
CONST_VALUE,"Hodoty constant"
SLIDER_LEFT,"Levý slider"
SLIDER_RIGHT,"Pravý slider"
RIGHT_HORIZONTAL,"Pravý horizontální"
TRIM_RIGHT_HORIZONTAL_LEFT,"TRIM_PHL"
TRIM_RIGHT_HORIZONTAL_RIGHT,"TRIM_PHR"
RIGHT_VERTICAL,"Pravý vertikální"
TRIM_RIGHT_VERTICAL_UP,"TRIM_PVN"
TRIM_RIGHT_VERTICAL_DOWN,"TRIM_PVD"
LEFT_VERTICAL,"Levý vertikální"
TRIM_LEFT_VERTICAL_UP,"TRIM_LVN"
TRIM_LEFT_VERTICAL_DOWN,"TRIM_LVD"
LEFT_HORIZONTAL,"Levý horizontální"
TRIM_LEFT_HORIZONTAL_LEFT,"TRIM_LHL"
TRIM_LEFT_HORIZONTAL_RIGHT,"TRIM_LHP"
TRIM_T5_LEFT,"T5L"
TRIM_T5_RIGHT,"T5P"
TRIM_T6_LEFT,"T6P"
TRIM_T6_RIGHT,"T6P"
TRIM_T5_DOWN,"T5D"
TRIM_T5_UP,"T5N"
TRIM_T6_DOWN,"T6D"
TRIM_T6_UP,"T6N"
DIFFERENTIAL,"Diferenciace"
SLOW,"Slow"
MULTIPLY,"Násobení"
WEIGHT_UP,"Váha nahoru"
WEIGHT_DOWN,"Váha dolů"
OUTPUT,"Výstup"
CLOSE,"Zavřít"
FLASHING,"Flešuji..."
RESET_DEVICE,"Reset zařízení..."
LOW_BATTERY,"Nízký stav baterie rádia!"
VOLTAGE_CALIBRATION,"Kalibrace napětí"
STARTING_MODEL_WIZARD,"Spouštím průvodce modelu..."
RADIO_DATA_LOAD,"Data rádia nahrána"
DEFAULT_SYSTEM_SETTINGS_RESTORED,"Chyba úložiště, obnoveno výchozí nastavení systému."
FLIGHT_MODE_SHORT,"LR"
PREFLIGHT_WARNING,"Předletové varování"
NEW_MODEL,"Nový model"
STARTING_CALIBRATION,"Zahajuji kalibraci..."
NO_SD_CARD_WARNING,"Varování, žádná SD karta"
ADD_CURVE_ERROR,"Přidání křivky selhalo!"
STEP,"Krok"
AILERON,"Křidélka"
ELEVON,"Elevon"
SPACE_WITH_CHANNEL," kanál"
QUESTION_SWAP_SSS_AND_SSS_CHANNELS_SETTINGS,"Chcete zaměnit pojmenování kanálů %s a %s?"
INPUT,"Vstup"
ELE_TO_AIL,"Výšk do Křid"
THR_CURVE,"Křivka plyn"
PITCH_CURVE,"Křivka klop"
THROTTLE_CUT,"Vypnutí plynu (zámek)"
AIL_TO_RUD,"Křid do Směr"
ELE_TO_CAMBER,"Výšk do Camber"
RUD_TO_AIL,"Směr do Křid"
RUD_TO_ELE,"Směr do Výšk"
AIL_TO_FLAPS,"Křid do Klap"
FLAPS_TO_ELE,"Klap do Výšk"
FREE_MIX,"Volný mix"
