TRANSLATION_NAME,"Nederlands"
NO_MODELS_DIRECTORY,"No models directory!"
ARE_YOU_SURE_YOU_WANT_TO_DELETE_THIS_MODEL,"Weet u zeker dat u dit model wilt verwijderen?"
SUCCESS,"Voltooid!"
CLONE_MODEL_SUCCESSFULLY,"Model is succesvol gekloond!"
FILENAME_TOO_LONG,"Filename too long!"
RX_STILL_ON_SELECT_ANOTHER_MODEL,"Receiver is still ON, are you sure to switch to this model?"
CONFIRM_SELECT_ANOTHER_MODEL,"Are you sure you want to select another model?"
FILE_NAME,"Bestandsnaam"
MODEL_TYPE,"Model Type"
CONFIRM,"Bevestiging"
SET_CURRENT_MODEL,"Selecteer model"
UNCATEGORIZED,"Uncategorized"
CHANGE_FOLDER,"Change Folder"
OPERATION,"Operation"
OPERATION_FAILED,"Operation failed!"
DELETE_FOLDER,"Delete Folder"
RENAME_FOLDER,"Rename Folder"
CREATE_FOLDER,"Create Folder"
CONFIRM_DELETE_FLIGHT_MODE,"Weet u zeker dat u deze vluchtmodus wilt verwijderen?"
MOVE,"Verplaats"
EDIT,"Bewerk"
ADD,"Toevoegen"
TELEMETRY_PORT,"Telem. Poort"
WARNING,"Waarschuwing"
ERRORS,"Errors"
OPTIONS,"Opties"
CONFIGURE,"Configure"
WAITING_FOR_RECEIVER,"Wachten op ontvanger..."
PIN,"Pin"
TELEMETRY,"Telemetrie"
RX_SETTINGS,"RX Instellingen"
NO_RESPONSE_FROM_RECEIVER,"Geen response van de ontvanger"
SBUS_OUT,"SBUS Out"
SBUS_IN,"SBUS In"
TELEMETRY_25_MW,"Telemetrie 25mW"
HIGH_PWM_SPEED,"Hoge PWM Snelheid"
FLIGHT_DATA_RECORDER,"Flight Data Record"
RX_HAS_NO_FLIGHT_DATA_RECORD,"Receiver has no flight data recorder."
DEVICE_CONFIG,"Gereedschap"
CONFIRM_DELETE_TIMER,"Weet u zeker dat u deze timer wilt verwijderen?"
TIMER,"Timer "
MODE,"Mode"
PASTE,"Plakken"
TIMERS,"Timers"
COPY,"Kopiëren"
NO_TIMER_HINT,"Nog geen timer. Druk op knop Toevoegen om aan te maken!"
ANTENNA,"Antenne"
POWER_HAS_BEEN_CHANGED_PLEASE_REBIND,"Vermogen is gewijzigd, bind opnieuw!"
NO_RESPONSE_FROM_MODULE,"Geen reactie van module!"
POWER,"Vermogen"
BAUDRATE,"Baudrate"
WAITING_FOR_MODULE,"Wachten op module..."
TX_SETTINGS,"TX Instellingen"
MIXES,"Mixes"
CHANNELS,"Kanalen"
FLIGHT_MODE,"Vluchtmodus"
D,"D"
CONFIRM_DELETE_MIX,"Weet u zeker dat u deze mix wilt verwijderen?"
CONFIRM_DELETE_SSS,"Are you sure you want to delete %s?"
NONE,"Geen"
NO_MIX_HINT,"Nog geen Mix. Druk op knop Toevoegen om aan te maken!"
TYPE,"Type"
SHARE,"Delen"
RX,"RX"
RACING_MODE,"Race modus"
RANGE_CHECK,"Rijkwijdte test","Rijkwijdte"
EXTERNAL_MODULE,"Externe Module"
BIND_OK,"Bind OK"
BINDING_3DOTS,"Binden..."
BIND,"Bind"
FAILSAFE,"Failsafe"
INTERNAL_MODULE,"Interne Module"
SET_FAILSAFE,"Failsafe instellen"
RESET_BIND,"Reset bind"
FACTORY_RESET,"Factory reset"
RF_SYSTEM,"RF Systeem"
OWNER_REGISTRATION_ID,"Eigenaar registratie ID"
SELECT_DEVICE,"Selecteer Apparaat"
REGISTER,"Registreren"
VALID_FRAME_RATE,"VFR"
STATE,"Status"
PROTOCOL,"Protocol"
ARE_YOU_SURE_TO_RESET_THIS_RECEIVER,"Weet u zeker dat u deze ontvanger wilt resetten?"
SET,"Instellen"
EXPO,"Expo"
UNIT_POINTS_COUNT,"Punten"
WEIGHT,"Gewicht"
POINTS,"Punten"
OFFSET,"Offset"
AUTO_OFFSET,"Auto offset"
OFFSET_WHEN_ACTIVE,"Offset when active"
OFFSET_WHEN_INACTIVE,"Offset when inactive"
SMOOTH,"Vloeiend"
POINT,"Punt "
POINTS_COUNT,"Aantal Punten"
EASY_MODE,"Eenvoudige Modus"
LOGIC_SWITCHES,"Logische Schakelaars"
ARE_YOU_SURE_YOU_WANT_TO_DELETE_THIS_LOGIC_SWITCH,"Weet u zeker dat u deze logische schakelaar wilt verwijderen?"
NO_LOGIC_SWITCH_HINT,"Nog geen logische schakelaar. Druk op de Toevoeg knop om aan te maken!"
START_CONDITION,"Start condition"
STOP_CONDITION,"Stop condition"
TIMER_EDIT,"Bewerk timer"
PERSISTENT,"Aanhoudend"
START_VALUE,"Start waarde","Start"
AUDIO_ACTIONS,"Audio actions"
AUDIO_ACTION,"Audio action"
ADD_A_NEW_AUDIO_ACTION,"Add a new audio action"
ALARM_VALUE,"Alarm waarde","Alarm"
HAPTIC,"Haptisch"
COUNTDOWN,"Countdown"
BEEP_COUNTDOWN,"Beep countdown"
START,"Start"
PLAY_FILE,"Play File"
SPACE_WITH_OTHERS," anderen..."
CONFIRM_DELETE_CURVE,"Weet u zeker dat u deze curve wilt verwijderen?"
CURVE_USED_BY,"Deze curve wordt gebruikt door de volgende mixers:"
AND_WITH_TWO_SPACES," en "
CURVES,"Curven"
VARS,"Vars"
NO_VAR_HINT,"No var yet. Please press the add button to create one!"
ARE_YOU_SURE_YOU_WANT_TO_DELETE_THIS_VAR,"Are you sure you want to delete this var?"
NO_CURVE_HINT,"Nog geen curve. Druk op de Toevoeg knop om aan te maken"
CONFIRM_RESET_MIXES,"Deze bewerking zorgt ervoor dat alle mixers worden gereset.\nWeet u zeker dat u wilt doorgaan?"
ELEVATORS,"Hoogteroeren"
YAW,"Yaw"
SWASH_PLATE,"Tuimelschijf"
EDIT_MODEL,"Bewerk Model"
PICTURE,"Afbeelding"
TAIL,"Stabilo"
AILERONS,"Rolroeren"
PITCH,"Pitch"
THROTTLE,"Gas"
FLAPS,"Flaps"
ENGINE,"Motor"
RUDDERS,"Richtingsroeren"
ROLL,"Roll"
FUNCTION_SWITCHES,"Functieschakelaars"
RESET_ALL_MIXES,"Reset Alle Mixers"
CREATE_CALCULATED_SENSOR,"Berekende, sensor maken"
CONFIRM_DELETE_SENSORS,"Alle sensoren worden verwijderd.\nWeet u zeker dat u wilt doorgaan?"
ON,"AAN"
OFF,"UIT"
DISCOVER_NEW_SENSORS,"Vind nieuwe sensoren"
DELETE_ALL,"Verwijder Alles"
CREATE_DIY_SENSOR,"DIY sensor maken"
CONFIRM_LOAD_ALL_SWITCH_POSITIONS,"Deze bewerking overschrijft alle controleposities van schakelaars met de huidige posities. Weet u zeker dat u wilt doorgaan?"
CHECK_FUNCTION,"Controleer functie"
LOAD_ALL_SWITCH_POSITIONS,"Alle schakelaarposities laden"
CONFIRM_LOAD_ALL_POT_POSITIONS,"Deze bewerking zal alle potmeter controleposities overschrijven met de huidige posities. Weet u zeker dat u wilt doorgaan?"
LOAD_ALL_POT_POSITIONS,"Alle potposities laden"
CALIBRATION_FINISH,"Kalibratie voltooid!"
SXR_CALIBRATION,"SxR Kalibratie"
CLICK_WHEN_DONE,"Klik als u klaar bent"
CALIBRATING,"Kalibratie actief..."
SXR_CALIBRATION_DESCRIPTION,"Beschrijving voor SxR-kalibratiefunctie"
SLAVE_CH,"Slave CH"
PERCENT,"Procent"
DESTINATION,"Bestemming"
ENABLE,"AAN"
NO_FUNCTION_HINT,"Nog geen functie. Druk op de Toevoeg knop om aan te maken"
SPECIAL_FUNCTIONS,"Speciale Functies"
SF,"SF"
DISABLE,"UIT"
ARE_YOU_SURE_YOU_WANT_TO_DELETE_THIS_SPECIAL_FUNCTION,"Weet u zeker dat u deze speciale functie wilt verwijderen?"
REGISTRATION_OK,"Registratie OK"
UID,"UID"
REGISTRATION_ID,"Registratie ID"
RX_NAME,"RX Naam"
RECEIVER_CONNECTED,"Ontvanger verbonden"
REGISTRATION,"Registratie"
TRIMS,"Trims"
FADE_IN,"Fade In"
FADE_OUT,"Fade Out"
AUTO_DETECT,"Auto Detect"
DISPLAY_DECIMALS_AND_UNIT,"Display Precisie / Unit"
SELECT_SENSOR,"Selecteer Sensor"
DIY_SENSOR,"DIY Sensor"
WAITING,"Wachten"
BAND,"Band"
RATIO,"Ratio"
MODULE,"Module"
PROTOCOL_DECIMALS_AND_UNIT,"Protocol Precisie / Unit"
CROSS_TRIM,"Kruis Trim"
MOVE_TRIM_TO_SUBTRIM,"Move trim to subtrim"
INSTANT_TRIM,"Instant trim"
CONFIRM_MOVE_TRIM_TO_SUBTRIM,"Confirm move trim to subtrim?"
MOVE_TRIMS_TO_SUBTRIMS,"Move trims to subtrims"
CONFIRM_MOVE_TRIMS_TO_SUBTRIMS,"Confirm move trims to subtrims?"
INDEPENDENT_PER_FLIGHT_MODE,"Onafhankelijke trim per vluchtmodus"
STICK,"Knuppel"
CONFIGURE_SCREENS,"Configureer Schermen"
TOP_SCREEN,"Top Screen"
CHANGE_LAYOUT,"Change Layout"
FULL_SCREEN,"Full Screen"
WIDGET,"Widget"
SET_MAIN_SCREEN,"Hoofdscherm instellen"
CONFIGURE_WIDGET,"Configureer Widget"
NEW_SCREEN,"Nieuw Scherm"
SCREEN,"Scherm "
CHANGE_WIDGET,"Wijzig Widget","Wijzig..."
MOVE_FORWARD,"← Verplaats vooruit"
MOVE_BACKWARD,"→ Verplaats terug"
RESET_FLIGHT,"Reset Vlucht"
RESET_TIMERS,"Reset Timers"
RESET_TELEMETRY,"Reset Telemetrie"
HOME,"Home"
ADD_AFTER,"Toevoegen na..."
ADD_MIX_FAILED,"Mix toevoegen mislukt!"
MAX_MIXES_REACHED,"Het maximale aantal mixen is bereikt!"
FIRST_POSITION,"Eerst positie"
MIXES_LIBRARY,"Mixer Bibliotheek"
LOCAL_ADDRESS,"Lokaal Adres"
WAITING_FOR_DEVICES,"Wachten op apparaten..."
LOCAL_NAME,"Lokale Naam"
SEARCH_DEVICES,"Apparaten zoeken"
BLUETOOTH_DEVICE_CONNECTED,"Bluetooth Apparaten verbonden"
CONNECT_LAST_DEVICE,"Laatste apparaat verbinden"
DEVICE,"Device"
NO_BLUETOOTH_DEVICE_FOUND,"Geen Bluetooth Apparaten gevonden!"
SPEAKER_MUTE,"Luidspreker Dempem"
DISCONNECT,"Verbreken"
WAITING_FOR_DEVICE,"Wachten op verbinding"
DIST_ADDRESS,"Dist Adres"
CONNECTING,"Verbinden"
ROTARY_ENCODER_HALF_STEPS,"Rotary encoder half steps"
BLUETOOTH_AUDIO,"Bluetooth Audio"
NOT_INSTALLED,"Not installed (default)"
INSTALLED_AS_AN_OPTION,"Installed as an option"
RESET_MODULE,"Reset Module"
HIGH_SPEED,"High Speed"
NORMAL_SPEED,"Normal Speed"
MODEL,"Model Config."
CHECKLIST,"Checklist"
FILE_MANAGER,"Bestandsbeheer"
SOUND,"Geluid & Vibr."
STICKS,"Knuppels"
DATE_TIME,"Datum & Tijd"
HARDWARE,"Hardware"
INFO,"Info"
SERIAL_NUMBER,"Serial number"
RESET_FACTORY_SETTINGS,"Reset factory settings"
CONFIRM_RESET_FACTORY_SETTINGS,"Reset factory settings?"
SYSTEM,"Systeem Config."
DISPLAY,"Display"
KEYBOARD,"Keyboard"
ENABLE_SLIDER,"Enable slider"
DISABLE_SLIDER,"Disable slider"
ALERTS,"Waarschuwingen"
SPECTRUM_ANALYSER,"Spektrum"
BATTERY,"Batterij"
CHECKLIST_WARNING,"Checklist Waarschuwing"
RADIO_IS_IN_SILENT_MODE,"Radio staat in stille modus"
RADIO_BATTERY_IS_LOW,"Radiobatterij is bijna leeg"
THROTTLE_IS_NOT_IDLE,"Gas niet Idle"
ARE_NOT_IN_SAFE_POSITION," staan niet in veilige positie"
IS_NOT_IN_SAFE_POSITION," staat niet in veilige positie"
FUNCTION_SWITCHES_ARE_NOT_IN_SAFE_POSITION,"Functieschakelaars staan niet in veilige stand"
FAILSAFE_IS_NOT_SET,"Failsafe niet ingesteld"
RTC_BATTERY_IS_LOW,"RTC batterij is bijna leeg"
ALWAYS_ON,"Altijd Aan"
YES,"Ja"
DIGITAL_RSSI,"Digitaal RSSI"
GYRO,"Gyro"
GYRO_SWITCHES,"Gyro switches"
LANGUAGE,"Taal"
SWITCHES,"Schakelaars"
TOP_TOOLBAR,"Bovenste werkbalk"
NO,"Nee"
BRIGHTNESS,"Helderheid"
KEYS,"Toetsen"
WAKE_UP,"Wakker maken"
DIGITAL_VOLTAGE,"Digitale Voltage"
SLEEP,"Slaap"
SYSTEM_ALERTS,"Systeem Waarschuwingen"
INACTIVITY,"Inactiviteit"
AUTO_ADJUST_FROM_GPS,"Automatisch aanpassen via GPS"
DATE,"Datum"
ADJUST_RTC_SPEED,"Adjust RTC speed"
SHOW_SECONDS,"Weergave seconden"
IS24HOUR,"24-uurs tijd"
TIME_ZONE,"Tijdzone"
YEAR,"Jaar"
MONTH,"Maand"
TIME,"Tijd"
NEXT,"Volgende"
GYRO_CALIBRATION,"Gyro kalibratie"
PREV,"Vorige"
MDL_LONG,"MDL Lang"
HARDWARE_CHECK,"Hardware check"
SWITCHES_SETTINGS,"Schakelaar Instellingen"
ADC_INSPECTOR,"ADC waarde inspectie"
SYS_LONG,"SYS Lang"
HOME_KEYMAP,"Home Toetsen indeling"
POTS_SLIDERS_SETTINGS,"Pots/Schuiven Instellingen"
SWITCH_MIDDLE_DETECT_DELAY,"Schakelaar midden detectievertraging"
DISP_SHORT,"{DISP_LABEL} Kort"
DISP_LONG,"{DISP_LABEL} Lang"
SWITCH,"Schakelaar"
ANALOGS_FILTER,"Analoog filter"
ANALOGS_CALIBRATION,"Analoge kalibratie"
CONFIRM_CONTINUE,"Weet u zeker dat u door wilt gaan?"
THR_NOT_LOW_WARNING,"Gashendel staat niet in lage stand!"
CHANNELS_ORDER,"Kanaalvolgorde"
STICKS_MODE,"Knuppel Mode"
STICKS_MODE_1,"Sticks mode 1"
STICKS_MODE_2,"Sticks mode 2"
STICKS_MODE_3,"Sticks mode 3"
STICKS_MODE_4,"Sticks mode 4"
FIRST_FOUR_CHANNELS_FIXED,"Eerste vier kanalen vast"
NO_SD_CARD,"Geen SD kaart"
FLASH_BOOTLOADER,"Flash Bootloader"
FLASH_INTERNAL_MODULE,"Flash Interne Module"
PLAY,"Afspelen"
CURRENT_VERSION,"Huidige Versie"
FLASH_RECEIVER_BY_INTERNAL_MODULE_OTA,"Flash RX via int. OTA"
FLASH_RECEIVER_BY_EXTERNAL_MODULE_OTA,"Flash RX by ext. OTA"
OTA_UPDATE,"OTA Update"
FLASH_EXTERNAL_DEVICE,"Flash Extern Apparaat"
OPEN,"Open"
FLASH_EXTERNAL_MODULE,"Flash Externe Module"
FLASH_EXTERNAL_MULTIMODULE,"Flash external multimodule"
MOVE_HERE,"Verplaats hier"
OTA_UPDATE_ERROR,"OTA update fout"
UNSUPPORTED_RX,"Niet ondersteunde RX"
MAIN_VOLTAGE,"Hoofdspanning"
DISPLAY_VOLTAGE_RANGE,"Spanningsbereik weergeven"
LOW_VOLTAGE,"Spanning laag, Drempelwaarde"
RTC_VOLTAGE,"RTC Voltage"
UNKNOWN,"Onbekend"
FIRMWARE,"Firmware"
FIRMWARE_VERSION,"Firmware Versie"
VIDEO_HARDWARE_VERSION,"Video Hardware Version"
RECEIVER,"Ontvanger "
NON_STABILIZED_RECEIVER,"Non stabilized receiver"
VARIO,"Vario"
MAIN_VOLUME,"Hoofd Volume"
AUDIO_VOLUME,"Volume"
PITCH_AT_ZERO,"Pitch nul"
SEQUENCE,"Sequence"
PITCH_AT_MAX,"Pitch max"
REPEAT_AT_ZERO,"Herhalen"
FIXED_WING,"Vliegtuig"
GLIDER,"Zwever"
HELI,"Helikopter"
MULTI,"Multi"
OTHER,"Overig"
CALIBRATION,"Kalibratie"
INPUTS,"Invoer"
UPDATE,"Update"
SDCARD,"SD Card"
SDCARD_ERROR,"SD Card Fout"
INVALID_DATA,"Ongeldige data"
FILE_BAD_FORMAT,"Onbekende file"
NO_FILES_ON_SD,"Geen files op SD!"
READ_ERROR,"Lees fout"
WRITE_ERROR,"Schrijf fout"
WRONG_HEADER,"Verkeerde header"
WRONG_FORMAT,"Verkeerd formaat"
WRONG_CRC,"CRC Fout"
WRONG_FILE_SIZE,"Verkeerde file grootte"
WRONG_FILE,"Verkeerde file"
ERROR,"Foutmelding"
RUDDER,"Richtingsroer"
ELEVATOR,"Hoogteroer"
DELETE,"Verwijder"
MODEL_BITMAP,"Model Bitmap"
TAIL_TYPE,"Stabilo type"
TRADITIONAL,"Traditioneel"
VTAIL,"V-Staart"
REVERSE,"Omkeren"
RATE,"Rate"
UP,"Omhoog"
DOWN,"Omlaag"
RIGHT,"Right"
LEFT,"Left"
TOP,"Top"
BOTTOM,"Bottom"
TIMER_UP,"Op"
TIMER_DOWN,"Neer"
LIMIT,"Limiet"
SPEED,"Snelheid"
SET_DATE,"Datum instellen"
SET_TIME,"Tijd instellen"
SILENT_MODE,"Stilte modus"
KEY,"Toets"
ALARM,"Alarm"
TRIM,"Trim"
SETUP_CHANNEL,"Kanaal instellen"
LOGIC_SWITCH,"Logische Schakelaar"
CREATE_MODEL,"Model Aanmaken"
CANCEL,"Annuleren"
DELAY,"Vertraging"
SAVE,"OPSLAAN"
LS,"LS"
FS,"FS"
OP,"OP"
TRAINER_MASTER,"Master"
TRAINER_SLAVE,"Slave"
LINK_MODE,"Link Modus"
TRAINEE_CHANNEL,"Student Channel"
SUNDAY,"Zondag"
MONDAY,"Maandag"
TUESDAY,"Dinsdag"
WEDNESDAY,"Woensdag"
THURSDAY,"Donderdag"
FRIDAY,"Vrijdag"
SATURDAY,"Zaterdag"
JANUARY,"Januari"
FEBRUARY,"Februari"
MARCH,"Maart"
APRIL,"April"
MAY,"Mei"
JUNE,"Juni"
JULY,"Juli"
AUGUST,"Augustus"
SEPTEMBER,"September"
OCTOBER,"Oktober"
NOVEMBER,"November"
DECEMBER,"December"
RECEIVER_TYPE,"Ontvanger Type"
BACK,"Terug"
INTERNAL,"Intern"
EXTERNAL,"Extern"
RF_PROTOCOL,"RF Protocol"
EXTERNAL_RF,"Externe RF"
LOGIC_SWITCH_RANGE,"Bereik"
PLAY_SEQUENCE,"Track Afspelen"
WAIT_DURATION,"Wait duration"
WAIT_CONDITION,"Wait condition"
CONFIRM_DELETE_LINE,"Are you sure you want to delete this line?"
ADD_A_NEW_LINE_IN_SEQUENCE,"Add a new line in sequence"
PLAY_TEXT,"Play text"
GO_TO_SCREEN,"Go to screen"
LOCK_TOUCHSCREEN,"Lock touchscreen"
BLANK,"Blanco"
CALIBRATE,"Kalibreren"
CLICK_CALIBRATE_TO_START,"Klik 'Kalibreren' om te starten"
CENTER_STICKS_POTS_SLIDERS_AND_CLICK_NEXT,"Centreer de knuppels/potmeters/schuiven, klik op 'Volgende' wanneer klaar"
MOVE_STICKS_POTS_SLIDERS_AND_CLICK_NEXT,"Beweeg de knuppels/potmeters/schuiven naar max. bereik, klik dan op 'Volgende'"
CALIBRATION_COMPLETE_CLICK_CONFIRM_TO_STORE,"Kalibratie voltooid, klik 'Bevestigen' om op te slaan in de radio-instellingen"
BACKLIGHT,"BackLight"
DARK_MODE,"Dark Mode"
HIGHLIGHT_COLOR,"Highlight Color"
MODEL_NAME,"Naam"
NO_AIRBRAKES,"Geen airbrakes"
CURRENT,"Stroom"
VFAS,"VFAS"
TEMPERATURE_2,"Temp2"
TEMPERATURE_1,"Temp1"
FUEL,"Brandstof"
ACCX,"AccX"
ACCY,"AccY"
ACCZ,"AccZ"
GPS_ALT,"GPS Alt"
GPS_SPEED,"GPS Speed"
GPS_COURSE,"GPS Course"
AIR_SPEED,"Air Speed"
BATTERY_1_VOLTAGE,"Bat1 Voltage"
BATTERY_1_CURRENT,"Bat1 Current"
BATTERY_2_VOLTAGE,"Bat2 Voltage"
BATTERY_2_CURRENT,"Bat2 Current"
RBOX_STATE_1,"RBOX S1"
RBOX_STATE_2,"RBOX S2"
BATTERY_1_CONSUMPTION,"Bat1 Cons."
BATTERY_2_CONSUMPTION,"Bat2 Cons."
BATTERY_1_TEMPERATURE,"Bat1 temp."
BATTERY_2_TEMPERATURE,"Bat2 temp."
SD1_CHANNEL,"SD1CH"
ESC_VOLTAGE,"ESC Voltage"
ESC_CURRENT,"ESC Stroom"
ESC_RPM,"ESC RPM"
ESC_CONSUMPTION,"ESC Consumptie"
ESC_TEMPERATURE,"ESC Temp"
RB_OUTPUT_STATE,"Output State"
RB_CH1_A,"CH1 Current"
RB_CH2_A,"CH2 Current"
RB_CH3_A,"CH3 Current"
RB_CH4_A,"CH4 Current"
RB_CH5_A,"CH5 Current"
RB_CH6_A,"CH6 Current"
RB_CH7_A,"CH7 Current"
RB_CH8_A,"CH8 Current"
RB_CH9_A,"CH9 Current"
RB_OUTPUT_1_VOLTAGE,"Output1 Voltage"
RB_OUTPUT_2_VOLTAGE,"Output2 Voltage"
GASSUIT_TEMP1,"GASS Temp1"
GASSUIT_TEMP2,"GASS Temp2"
GASSUIT_SPEED,"GASS RPM"
GASSUIT_RES_VOL,"GASS Res. Vol."
GASSUIT_RES_PERC,"GASS Res. %"
GASSUIT_FLOW,"GASS Flow"
GASSUIT_MAX_FLOW,"GASS Max Flow"
GASSUIT_AVG_FLOW,"GASS Avg Flow"
BEC_VOLTAGE,"BEC Voltage"
BEC_CURRENT,"BEC Current"
R9M_POWER,"R9M Vermogen"
OK,"OK"
FLAP,"Flap"
AIRBRAKE,"Airbrake"
FILE,"Bestand"
FLASH_SPORT,"Flash S.port"
PLAY_VALUE,"Waarde Afspelen"
CATEGORY,"Categorie"
MEMBER,"Lid"
ANALOGS,"Analoge"
SWITCHES_POSITIONS,"Schakelposities"
TRIMS_POSITIONS,"Trim posities"
CONST_VALUE,"Const waarde"
SLIDER_LEFT,"Schuif links"
SLIDER_RIGHT,"Schuif rechts"
RIGHT_HORIZONTAL,"Rechts Horizontaal"
TRIM_RIGHT_HORIZONTAL_LEFT,"Trim RHL"
TRIM_RIGHT_HORIZONTAL_RIGHT,"Trim RHR"
RIGHT_VERTICAL,"Rechts Verticaal"
TRIM_RIGHT_VERTICAL_UP,"Trim RVU"
TRIM_RIGHT_VERTICAL_DOWN,"Trim RVD"
LEFT_VERTICAL,"Links verticaal"
TRIM_LEFT_VERTICAL_UP,"Trim LVU"
TRIM_LEFT_VERTICAL_DOWN,"Trim LVD"
LEFT_HORIZONTAL,"Links Horizontaal"
TRIM_LEFT_HORIZONTAL_LEFT,"Trim LHL"
TRIM_LEFT_HORIZONTAL_RIGHT,"Trim LHR"
TRIM_T5_LEFT,"T5 L"
TRIM_T5_RIGHT,"T5 R"
TRIM_T6_LEFT,"T6 L"
TRIM_T6_RIGHT,"T6 R"
TRIM_T5_DOWN,"T5 D"
TRIM_T5_UP,"T5 U"
TRIM_T6_DOWN,"T6 D"
TRIM_T6_UP,"T6 U"
DIFFERENTIAL,"Differentieel"
SLOW,"Slow"
MULTIPLY,"Vermenigvuldigen"
WEIGHT_UP,"Gewicht Omhoog"
WEIGHT_DOWN,"Gewicht Omlaag"
OUTPUT,"Uitgang "
CLOSE,"Sluiten"
FLASHING,"Bezig met flashen..."
RESET_DEVICE,"Apparaat reset..."
LOW_BATTERY,"Radio batterij laag!"
VOLTAGE_CALIBRATION,"Voltage Calibratie"
STARTING_MODEL_WIZARD,"Modelwizard starten..."
RADIO_DATA_LOAD,"Radio data laden"
DEFAULT_SYSTEM_SETTINGS_RESTORED,"Opslagfout, standaard systeeminstellingen hersteld."
FLIGHT_MODE_SHORT,"FM"
PREFLIGHT_WARNING,"Preflight waarschuwingen"
NEW_MODEL,"Nieuw model"
STARTING_CALIBRATION,"Kalibratie starten..."
NO_SD_CARD_WARNING,"Geen SD kaartwaarschuwing"
ADD_CURVE_ERROR,"Toevoegen van curve mislukt!"
STEP,"Stap"
AILERON,"Rolroer"
ELEVON,"Elevon"
SPACE_WITH_CHANNEL," kanaal"
QUESTION_SWAP_SSS_AND_SSS_CHANNELS_SETTINGS,"Wil je %s en %s kanaalinstellingen omwisselen?"
INPUT,"Ingang"
ELE_TO_AIL,"Hgt => Rol"
THR_CURVE,"Gas Curve"
PITCH_CURVE,"Pitch Curve"
THROTTLE_CUT,"Gas Cut"
AIL_TO_RUD,"Rol => Ri"
ELE_TO_CAMBER,"Hoog => Camber"
RUD_TO_AIL,"Ri => Rol"
RUD_TO_ELE,"Ri => Hoog"
AIL_TO_FLAPS,"Rol => Flaps"
FLAPS_TO_ELE,"Flaps => Hoog"
FREE_MIX,"Vrije Mix"
SNAP_ROLL,"Snap Roll"
TEST_MIX,"Test Mix"
DELAY_UP,"Vertraging Omhoog"
DELAY_MID,"Vertraging Mid"
DELAY_DOWN,"Vertraging Omlaag"
NO_DELAY,"Geen Vertraging"
V_TAIL,"V Staart"
DATA_REFUSED,"Data gewijgerd"
DEVICE_NOT_RESPONDING,"Apparaat reageerd niet"
NO_OUTPUT,"Geen uitvoer"
WEIGHT_RATES,"Gewichten / Rate"
OTHERWISE,"Otherwise"
AUTO,"Auto"
