TRANSLATION_NAME,"中文"
CONFIRM_DELETE_FLIGHT_MODE,"你确定要删除这个飞行模式吗?"
MOVE,"移动"
EDIT,"编辑"
ADD,"添加"
TELEMETRY_PORT,"遥测数据协议"
WARNING,"警告"
ERRORS,"Errors"
OPTIONS,"选项"
CONFIGURE,"配置"
WAITING_FOR_RECEIVER,"等待接收机......"
PIN,"引脚"
TELEMETRY,"遥测"
RX_SETTINGS,"RX设置"
NO_RESPONSE_FROM_RECEIVER,"接收机无响应"
SBUS_OUT,"S.Bus输出"
SBUS_IN,"S.Bus输入"
TELEMETRY_25_MW,"遥测功率25mW"
HIGH_PWM_SPEED,"高速PWM"
FLIGHT_DATA_RECORDER,"飞行数据记录"
RX_HAS_NO_FLIGHT_DATA_RECORD,"接收机不支持飞行数据记录."
SENSOR_CONFIG,"设备配置"
CONFIRM_DELETE_TIMER,"你确定要删除这个定时器吗?"
TIMER,"定时器"
MODE,"模式"
PASTE,"粘贴"
TIMERS,"定时器"
COPY,"复制"
NO_TIMER_HINT,"未找到定时器,请点击+按钮来创建一个"
ANTENNA,"天线"
POWER_HAS_BEEN_CHANGED_PLEASE_REBIND,"设备已重新上电, 请重新配对!"
NO_RESPONSE_FROM_MODULE,"模块无响应!"
POWER,"功率"
BAUDRATE,"Baudrate"
WAITING_FOR_MODULE,"等待模块中......"
TX_SETTINGS,"TX设置"
MIXES,"混控"
CHANNELS,"通道"
FLIGHT_MODE,"飞行模式"
D,"D"
CONFIRM_DELETE_MIX,"确定删除这个混控吗?"
CONFIRM_DELETE_SSS,"确定删除这个%s吗"
NONE,"无"
NO_MIX_HINT,"未找到混控,点击+按钮来创建一个!"
TYPE,"类型"
SHARE,"分享"
RX,"RX"
RACING_MODE,"竞速模式"
RANGE_CHECK,"距离检测"
EXTERNAL_MODULE,"外置模块"
BIND_OK,"对码成功"
BINDING_3DOTS,"对码中......"
BIND,"对码"
FAILSAFE,"失控保护"
INTERNAL_MODULE,"内置模块"
SET_FAILSAFE,"设定失控保护"
RESET_BIND,"重置对码"
FACTORY_RESET,"恢复出厂设置"
RF_SYSTEM,"射频系统"
OWNER_REGISTRATION_ID,"注册ID"
SELECT_DEVICE,"选择设备"
REGISTER,"注册"
VALID_FRAME_RATE,"有效帧率"
STATE,"状态"
PROTOCOL,"协议"
RSSI,"RSSI"
ARE_YOU_SURE_TO_RESET_THIS_RECEIVER,"你确定要删除这个接收机吗?"
SET,"设置"
EXPO,"指数"
UNIT_POINTS_COUNT,"个点"
WEIGHT,"权重"
POINTS,"逐点设置"
OFFSET,"补偿"
AUTO_OFFSET,"Auto offset"
OFFSET_WHEN_ACTIVE,"起效偏移量"
OFFSET_WHEN_INACTIVE,"失效偏移量"
SMOOTH,"平滑"
POINT,"点"
POINTS_COUNT,"点数"
EASY_MODE,"简单模式"
LOGIC_SWITCHES,"逻辑开关"
ARE_YOU_SURE_YOU_WANT_TO_DELETE_THIS_LOGIC_SWITCH,"你确认要删除这个逻辑开关吗?"
NO_LOGIC_SWITCH_HINT,"未找到逻辑开关,请点击+按钮来创建一个!"
START_CONDITION,"起效条件"
STOP_CONDITION,"停止条件"
TIMER_EDIT,"定时器编辑"
PERSISTENT,"持续"
START_VALUE,"起始值"
AUDIO_ACTIONS,"音频操作"
AUDIO_ACTION,"音频操作"
ADD_A_NEW_AUDIO_ACTION,"添加音频操作"
ALARM_VALUE,"报警/起始值"
HAPTIC,"振动"
COUNTDOWN,"倒计时"
BEEP_COUNTDOWN,"蜂鸣倒计时"
START,"开始"
PLAY_FILE,"播放文件"
SPACE_WITH_OTHERS,"以及其他......"
CONFIRM_DELETE_CURVE,"你确定要删除这条曲线吗?"
CURVE_USED_BY,"该曲线正在被以下混控使用: "
AND_WITH_TWO_SPACES,"和"
CURVES,"曲线设定"
VARS,"变量"
NO_VAR_HINT,"未找到变量, 请点击+按钮来创建一个!"
ARE_YOU_SURE_YOU_WANT_TO_DELETE_THIS_VAR,"你确定要删除这个变量吗?"
NO_CURVE_HINT,"未找到曲线,请点击+按钮来创建一个!"
CONFIRM_RESET_MIXES,"这会导致所有混控被重置,\n你确定要继续吗?"
ELEVATORS,"升降舵"
YAW,"偏航"
SWASH_PLATE,"斜盘"
EDIT_MODEL,"编辑模型"
PICTURE,"图片"
TAIL,"尾翼"
AILERONS,"副翼"
PITCH,"俯仰"
THROTTLE,"油门"
FLAPS,"襟翼"
ENGINE,"动力系统"
RUDDERS,"方向舵"
ROLL,"翻滚"
FUNCTION_SWITCHES,"功能开关"
RESET_ALL_MIXES,"重置所有混控"
CREATE_CALCULATED_SENSOR,"创建计算传感器"
CONFIRM_DELETE_SENSORS,"所有的传感器都将被移除\n你确定要继续吗?"
ON,"开启"
OFF,"关闭"
DISCOVER_NEW_SENSORS,"发现新传感器"
DELETE_ALL,"全部删除"
CREATE_DIY_SENSOR,"创建自定义传感器"
CONFIRM_LOAD_ALL_SWITCH_POSITIONS,"该操作会载入当前所有开关位置以覆盖开机检测中的设置,\n你确定要继续吗?"
CHECK_FUNCTION,"检查方法"
LOAD_ALL_SWITCH_POSITIONS,"载入当前所有开关位置"
CONFIRM_LOAD_ALL_POT_POSITIONS,"该操作会载入当前所有旋钮/滑块位置以覆盖开机检测中的设置,\n你确定要继续吗?"
LOAD_ALL_POT_POSITIONS,"载入当前所有旋钮/滑块位置"
CALIBRATION_FINISH,"校准完成!"
SXR_CALIBRATION,"SxR校准"
CLICK_WHEN_DONE,"点击以确定"
CALIBRATING,"校准中......"
SXR_CALIBRATION_DESCRIPTION,"SxR校准功能"
SLAVE_CH,"从机通道"
PERCENT,"百分比"
DESTINATION,"目标位置"
ENABLE,"打开"
NO_FUNCTION_HINT,"未找到功能,请点击+按钮来创建一个!"
SPECIAL_FUNCTIONS,"特殊功能"
SF,"SF"
DISABLE,"关闭"
ARE_YOU_SURE_YOU_WANT_TO_DELETE_THIS_SPECIAL_FUNCTION,"你确定要删除这个特殊功能吗?"
REGISTRATION_OK,"注册完成"
UID,"UID"
REGISTRATION_ID,"注册ID"
RX_NAME,"RX名称"
RECEIVER_CONNECTED,"接收机已连接"
REGISTRATION,"注册"
TRIMS,"微调"
FADE_IN,"渐入"
FADE_OUT,"渐出"
AUTO_DETECT,"自动检测"
DISPLAY_DECIMALS_AND_UNIT,"显示精度/单位"
SELECT_SENSOR,"选择传感器"
DIY_SENSOR,"自定义传感器"
WAITING,"等待中"
BAND,"频段"
RATIO,"分压比"
MODULE,"模块"
PROTOCOL_DECIMALS_AND_UNIT,"协议精度/单位"
CROSS_TRIM,"交叉微调"
MOVE_TRIM_TO_SUBTRIM,"将微调值保存为内置微调"
INSTANT_TRIM,"瞬时微调"
CONFIRM_MOVE_TRIM_TO_SUBTRIM,"确认要将微调值保存为内置微调吗?"
MOVE_TRIMS_TO_SUBTRIMS,"将微调值保存为内置微调"
CONFIRM_MOVE_TRIMS_TO_SUBTRIMS,"确认要将微调值保存为内置微调吗?"
INDEPENDENT_PER_FLIGHT_MODE,"不同飞行模式下值独立"
STICK,"摇杆"
CONFIGURE_SCREENS,"屏幕分布配置"
TOP_SCREEN,"顶部显示屏"
CHANGE_LAYOUT,"改变布局"
FULL_SCREEN,"全屏"
WIDGET,"控件"
SET_MAIN_SCREEN,"设为主屏幕"
CONFIGURE_WIDGET,"配置控件"
NEW_SCREEN,"添加显示页"
SCREEN,"屏幕"
CHANGE_WIDGET,"更换控件"
MOVE_FORWARD,"← 向前移动"
MOVE_BACKWARD,"→ 向后移动"
RESET_FLIGHT,"重置飞行模式"
RESET_TIMERS,"重置定时器"
RESET_TELEMETRY,"重置遥测数据"
HOME,"主页"
ADD_AFTER,"添加到......"
ADD_MIX_FAILED,"添加混控失败!"
MAX_MIXES_REACHED,"已达到混控最大数量!"
FIRST_POSITION,"开头"
MIXES_LIBRARY,"混控库"
LOCAL_ADDRESS,"本地地址"
WAITING_FOR_DEVICES,"等待设备响应..."
LOCAL_NAME,"本地名称"
SEARCH_DEVICES,"查找设备"
BLUETOOTH_DEVICE_CONNECTED,"无线设备已连接"
CONNECT_LAST_DEVICE,"连接上次设备"
NO_BLUETOOTH_DEVICE_FOUND,"没有发现无线设备 !"
SPEAKER_MUTE,"扬声器静音"
DISCONNECT,"断开连接"
WAITING_FOR_DEVICE,"等待设备响应..."
DIST_ADDRESS,"目标地址"
CONNECTING,"连接中"
RESET_MODULE,"重置模块"
HIGH_SPEED,"高速模式"
NORMAL_SPEED,"正常模式"
MODEL,"模型设置"
CHECKLIST,"检查清单"
FILE_MANAGER,"文件管理器"
SOUND,"声音&振动"
STICKS,"摇杆"
DATE_TIME,"日期&时间"
HARDWARE,"硬件"
INFO,"信息"
SERIAL_NUMBER,"序列号"
RESET_FACTORY_SETTINGS,"恢复出厂设置"
CONFIRM_RESET_FACTORY_SETTINGS,"确定要恢复出厂设置吗?"
SYSTEM,"系统设置"
DISPLAY,"显示"
KEYBOARD,"键盘"
ENABLE_SLIDER,"Enable slider"
DISABLE_SLIDER,"Disable slider"
ALERTS,"警报"
SPECTRUM_ANALYSER,"频谱仪"
BATTERY,"电池"
CHECKLIST_WARNING,"检查列表警告"
RADIO_IS_IN_SILENT_MODE,"遥控器处于静音模式"
RADIO_BATTERY_IS_LOW,"遥控器电量低"
THROTTLE_IS_NOT_IDLE,"油门未归零"
ARE_NOT_IN_SAFE_POSITION," 非安全位置"
IS_NOT_IN_SAFE_POSITION," 非安全位置"
FUNCTION_SWITCHES_ARE_NOT_IN_SAFE_POSITION,"功能开关不在安全位置"
FAILSAFE_IS_NOT_SET,"失控保护未设置"
RTC_BATTERY_IS_LOW,"RTC电池电量低"
ALWAYS_ON,"常开"
YES,"是"
DIGITAL_RSSI,"数字RSSI"
GYRO,"陀螺仪"
LANGUAGE,"语言"
SWITCHES,"开关"
TOP_TOOLBAR,"顶部工具栏"
NO,"否"
BRIGHTNESS,"亮度"
KEYS,"按键"
WAKE_UP,"唤醒"
DIGITAL_VOLTAGE,"数字化电压"
SLEEP,"睡眠时间"
SYSTEM_ALERTS,"系统警报"
INACTIVITY,"无操作报警"
AUTO_ADJUST_FROM_GPS,"通过GPS自动调整"
DATE,"日期"
ADJUST_RTC_SPEED,"调整RTC速度"
SHOW_SECONDS,"显示秒"
IS24HOUR,"24小时制"
TIME_ZONE,"时区"
YEAR,"年"
MONTH,"月"
TIME,"时间"
NEXT,"下一步"
GYRO_CALIBRATION,"陀螺仪校准"
PREV,"上一步"
MDL_LONG,"长按MDL按钮"
HARDWARE_CHECK,"硬件检查"
SWITCHES_SETTINGS,"开关设置"
ADC_INSPECTOR,"ADC采样值观察器"
SYS_LONG,"长按SYS按钮"
HOME_KEYMAP,"主页快键"
POTS_SLIDERS_SETTINGS,"电位器/滑块设置"
SWITCH_MIDDLE_DETECT_DELAY,"开关中点检测延迟"
DISP_SHORT,"短按{DISP_LABEL}按钮"
DISP_LONG,"长按{DISP_LABEL}按钮"
SWITCH,"开关"
ANALOGS_FILTER,"模拟量滤波器"
ANALOGS_CALIBRATION,"采样值校准"
CONFIRM_CONTINUE,"你确定要继续吗?"
THR_NOT_LOW_WARNING,"油门未归零!"
CHANNELS_ORDER,"通道顺序"
STICKS_MODE,"摇杆模式"
STICKS_MODE_1,"摇杆模式 1"
STICKS_MODE_2,"摇杆模式 2"
STICKS_MODE_3,"摇杆模式 3"
STICKS_MODE_4,"摇杆模式 4"
FIRST_FOUR_CHANNELS_FIXED,"固定前4通道"
NO_SD_CARD,"没有插入SD卡"
FLASH_BOOTLOADER,"刷写BootLoader"
FLASH_INTERNAL_MODULE,"升级内置模块"
PLAY,"播放"
CURRENT_VERSION,"当前版本"
FLASH_RECEIVER_BY_INTERNAL_MODULE_OTA,"通过内置模块OTA升级RX"
FLASH_RECEIVER_BY_EXTERNAL_MODULE_OTA,"通过外置模块OTA升级RX"
OTA_UPDATE,"OTA 升级"
FLASH_EXTERNAL_DEVICE,"升级S.Port设备"
OPEN,"打开"
FLASH_EXTERNAL_MODULE,"升级外置模块"
FLASH_EXTERNAL_MULTIMODULE,"升级外置多模块"
MOVE_HERE,"移动到这"
OTA_UPDATE_ERROR,"OTA升级错误"
UNSUPPORTED_RX,"不支持的接收机"
MAIN_VOLTAGE,"遥控器电压"
DISPLAY_VOLTAGE_RANGE,"电压显示范围"
LOW_VOLTAGE,"低电压报警"
RTC_VOLTAGE,"RTC电压"
UNKNOWN,"未知"
FIRMWARE,"固件"
FIRMWARE_VERSION,"固件版本"
VIDEO_HARDWARE_VERSION,"视频硬件版本号"
RECEIVER,"接收机"
NON_STABILIZED_RECEIVER,"Non stabilized receiver"
VARIO,"高度变化率"
MAIN_VOLUME,"主音量"
AUDIO_VOLUME,"音量"
PITCH_AT_ZERO,"零点音频"
SEQUENCE,"队列"
PITCH_AT_MAX,"最大值音频"
REPEAT_AT_ZERO,"重复间隔"
FIXED_WING,"固定翼"
GLIDER,"滑翔机"
HELI,"直升机"
MULTI,"多轴"
OTHER,"其它"
CALIBRATION,"摇杆校准"
INPUTS,"输入"
UPDATE,"升级"
SDCARD,"SD卡"
SDCARD_ERROR,"SD卡错误"
INVALID_DATA,"无效数据"
FILE_BAD_FORMAT,"未知文件"
NO_FILES_ON_SD,"SD卡没有文件!"
READ_ERROR,"读取失败"
WRITE_ERROR,"写入失败"
WRONG_HEADER,"头文件错误"
WRONG_FORMAT,"格式错误"
WRONG_CRC,"CRC错误"
WRONG_FILE_SIZE,"文件大小错误"
WRONG_FILE,"文件错误"
ERROR,"错误"
EDITABLE_THROTTLE,"Throttle"
RUDDER,"方向舵"
EDITABLE_RUDDER,"Rudder"
EDITABLE_AILERONS,"Ailerons"
ELEVATOR,"升降舵"
EDITABLE_ELEVATOR,"Elevator"
DELETE,"删除"
MODEL_BITMAP,"模型图片"
TAIL_TYPE,"尾翼类型"
TRADITIONAL,"传统尾翼"
VTAIL,"V尾"
REVERSE,"反向"
RATE,"行程"
UP,"上"
DOWN,"下"
RIGHT,"Right"
LEFT,"Left"
TOP,"Top"
BOTTOM,"Bottom"
TIMER_UP,"正数"
TIMER_DOWN,"倒数"
LIMIT,"限制"
SPEED,"速率"
SET_DATE,"设置日期"
SET_TIME,"设置时间"
SILENT_MODE,"静音模式"
KEY,"按键"
ALARM,"闹钟"
TRIM,"微调"
SETUP_CHANNEL,"设置通道"
LOGIC_SWITCH,"逻辑开关"
CREATE_MODEL,"创建模型"
CANCEL,"取消"
DELAY,"延迟"
SAVE,"保存"
LS,"LS"
FS,"FS"
OP,"OP"
TRAINER_MASTER,"主设备"
TRAINER_SLAVE,"从设备"
LINK_MODE,"连接模式"
TRAINEE_CHANNEL,"从设备通道"
SUNDAY,"周日"
MONDAY,"周一"
TUESDAY,"周二"
WEDNESDAY,"周三"
THURSDAY,"周四"
FRIDAY,"周五"
SATURDAY,"周六"
JANUARY,"一月"
FEBRUARY,"二月"
MARCH,"三月"
APRIL,"四月"
MAY,"五月"
JUNE,"六月"
JULY,"七月"
AUGUST,"八月"
SEPTEMBER,"九月"
OCTOBER,"十月"
NOVEMBER,"十一月"
DECEMBER,"十二月"
RECEIVER_TYPE,"接收机类型"
BACK,"返回"
INTERNAL,"内置"
EXTERNAL,"外置"
RF_PROTOCOL,"射频协议"
EXTERNAL_RF,"外置射频"
LOGIC_SWITCH_RANGE,"范围"
PLAY_SEQUENCE,"播放音频文件"
WAIT_DURATION,"等待时长"
WAIT_CONDITION,"等待条件"
CONFIRM_DELETE_LINE,"你确定要删除这一行吗?"
ADD_A_NEW_LINE_IN_SEQUENCE,"添加一个新的行"
PLAY_TEXT,"播放文字"
GO_TO_SCREEN,"跳转页面"
LOCK_TOUCHSCREEN,"锁定触屏"
BLANK,"空白"
CALIBRATE,"校准"
CLICK_CALIBRATE_TO_START,"点击\"校准\",开始校准"
CENTER_STICKS_POTS_SLIDERS_AND_CLICK_NEXT,"将摇杆/电位器/滑块居中,然后点击\"下一步\""
MOVE_STICKS_POTS_SLIDERS_AND_CLICK_NEXT,"移动摇杆/电位器/滑块至满行程,然后点击\"下一步\""
CALIBRATION_COMPLETE_CLICK_CONFIRM_TO_STORE,"校准完毕,点击\"确认\"保存遥控器数据"
BACKLIGHT,"背光"
DARK_MODE,"深色模式"
HIGHLIGHT_COLOR,"高亮颜色"
MODEL_NAME,"名称"
NO_AIRBRAKES,"无空气刹车"
SWR,"SWR"
CURRENT,"Current"
VFAS,"VFAS"
TEMPERATURE_2,"Temp2"
TEMPERATURE_1,"Temp1"
FUEL,"Fuel"
ACCX,"AccX"
ACCY,"AccY"
ACCZ,"AccZ"
GPS_ALT,"GPS Alt"
GPS_SPEED,"GPS Speed"
GPS_COURSE,"GPS Course"
AIR_SPEED,"Air Speed"
BATTERY_1_VOLTAGE,"Bat1 Voltage"
BATTERY_1_CURRENT,"Bat1 Current"
BATTERY_2_VOLTAGE,"Bat2 Voltage"
BATTERY_2_CURRENT,"Bat2 Current"
RBOX_STATE_1,"RBOX S1"
RBOX_STATE_2,"RBOX S2"
BATTERY_1_CONSUMPTION,"Bat1 Cons."
BATTERY_2_CONSUMPTION,"Bat2 Cons."
BATTERY_1_TEMPERATURE,"Bat1 temp."
BATTERY_2_TEMPERATURE,"Bat2 temp."
SD1_CHANNEL,"SD1CH"
ESC_VOLTAGE,"ESC Voltage"
ESC_CURRENT,"ESC Current"
ESC_RPM,"ESC RPM"
ESC_CONSUMPTION,"ESC Consumption"
ESC_TEMPERATURE,"ESC Temp"
RB_OUTPUT_STATE,"Output State"
RB_CH1_A,"CH1 Current"
RB_CH2_A,"CH2 Current"
RB_CH3_A,"CH3 Current"
RB_CH4_A,"CH4 Current"
RB_CH5_A,"CH5 Current"
RB_CH6_A,"CH6 Current"
RB_CH7_A,"CH7 Current"
RB_CH8_A,"CH8 Current"
RB_CH9_A,"CH9 Current"
RB_OUTPUT_1_VOLTAGE,"Output1 Voltage"
RB_OUTPUT_2_VOLTAGE,"Output2 Voltage"
GASSUIT_TEMP1,"GASS Temp1"
GASSUIT_TEMP2,"GASS Temp2"
GASSUIT_SPEED,"GASS RPM"
GASSUIT_RES_VOL,"GASS Res. Vol."
GASSUIT_RES_PERC,"GASS Res. %"
GASSUIT_FLOW,"GASS Flow"
GASSUIT_MAX_FLOW,"GASS Max Flow"
GASSUIT_AVG_FLOW,"GASS Avg Flow"
BEC_VOLTAGE,"BEC Voltage"
BEC_CURRENT,"BEC Current"
R9M_POWER,"R9M Power"
OK,"确定"
FLAP,"襟翼"
EDITABLE_FLAP,"Flap"
AIRBRAKE,"空气刹车"
EDITABLE_AIRBRAKE,"Airbrake"
FILE,"文件"
FLASH_SPORT,"升级S.port设备"
PLAY_VALUE,"播放值"
CATEGORY,"目录"
MEMBER,"成员"
ANALOGS,"模拟量"
SWITCHES_POSITIONS,"开关位置"
TRIMS_POSITIONS,"微调开关位置"
CONST_VALUE,"固定值"
SLIDER_LEFT,"左滑块"
EDITABLE_SLIDER_LEFT,"Slider left"
SLIDER_RIGHT,"右滑块"
EDITABLE_SLIDER_RIGHT,"Slider right"
RIGHT_HORIZONTAL,"右侧水平"
TRIM_RIGHT_HORIZONTAL_LEFT,"TRIM RHL"
TRIM_RIGHT_HORIZONTAL_RIGHT,"TRIM RHR"
RIGHT_VERTICAL,"右侧竖直"
TRIM_RIGHT_VERTICAL_UP,"TRIM RVU"
TRIM_RIGHT_VERTICAL_DOWN,"TRIM RVD"
LEFT_VERTICAL,"左侧竖直"
TRIM_LEFT_VERTICAL_UP,"TRIM LVU"
TRIM_LEFT_VERTICAL_DOWN,"TRIM LVD"
LEFT_HORIZONTAL,"左侧水平"
TRIM_LEFT_HORIZONTAL_LEFT,"TRIM LHL"
TRIM_LEFT_HORIZONTAL_RIGHT,"TRIM LHR"
TRIM_T5_LEFT,"T5L"
TRIM_T5_RIGHT,"T5R"
TRIM_T6_LEFT,"T6L"
TRIM_T6_RIGHT,"T6R"
TRIM_T5_DOWN,"T5D"
TRIM_T5_UP,"T5U"
TRIM_T6_DOWN,"T6D"
TRIM_T6_UP,"T6U"
DIFFERENTIAL,"差动"
SLOW,"Slow"
MULTIPLY,"倍增"
WEIGHT_UP,"正向行程权重"
WEIGHT_DOWN,"负向行程权重"
OUTPUT,"输出"
CLOSE,"关闭"
FLASHING,"烧录中......"
RESET_DEVICE,"重置设备中......"
LOW_BATTERY,"遥控器低电量!"
VOLTAGE_CALIBRATION,"电压校准"
STARTING_MODEL_WIZARD,"打开模型向导......"
RADIO_DATA_LOAD,"遥控器数据载入"
DEFAULT_SYSTEM_SETTINGS_RESTORED,"存储失败,已恢复至默认系统设置"
FLIGHT_MODE_SHORT,"FM"
PREFLIGHT_WARNING,"起飞警告"
NEW_MODEL,"新模型"
STARTING_CALIBRATION,"打开校准......"
NO_SD_CARD_WARNING,"无SD卡警告"
ADD_CURVE_ERROR,"添加曲线失败!"
STEP,"步骤"
AILERON,"副翼"
EDITABLE_AILERON,"Aileron"
EDITABLE_FLAPS,"Flaps"
SPACE_WITH_CHANNEL,"通道 "
QUESTION_SWAP_SSS_AND_SSS_CHANNELS_SETTINGS,"你确定要替换至目标通道吗?"
INPUT,"输入"
ELE_TO_AIL,"升降舵->副翼"
EDITABLE_ELE_TO_AIL,"Ele->Ail"
EDITABLE_ELEVATORS,"Elevators"
EDITABLE_RUDDERS,"Rudders"
THR_CURVE,"油门曲线"
PITCH_CURVE,"俯仰曲线"
THROTTLE_CUT,"油门熄火"
AIL_TO_RUD,"副翼->方向舵"
EDITABLE_AIL_TO_RUD,"Ail->Rud"
ELE_TO_CAMBER,"升降舵->\n翼型襟翼"
EDITABLE_ELE_TO_CAMBER,"Ele->Camber"
RUD_TO_AIL,"方向舵->副翼"
EDITABLE_RUD_TO_AIL,"Rud->Ail"
RUD_TO_ELE,"方向舵->升降舵"
EDITABLE_RUD_TO_ELE,"Rud->Ele"
AIL_TO_FLAPS,"副翼->\n翼型襟翼"
EDITABLE_AIL_TO_FLAPS,"Ail->Flaps"
FLAPS_TO_ELE,"翼型襟翼\n->升降舵"
EDITABLE_FLAPS_TO_ELE,"Flaps->Ele"
FREE_MIX,"自定义混控"
EDITABLE_FREE_MIX,"Free Mix"
EDITABLE_OFFSET,"Offset"
SNAP_ROLL,"快速横滚"
EDITABLE_SNAP_ROLL,"Snap Roll"
TEST_MIX,"测试混控"
EDITABLE_TEST_MIX,"Test Mix"
DELAY_UP,"上限延迟"
DELAY_MID,"中值延迟"
DELAY_DOWN,"下线延迟"
NO_DELAY,"无延迟"
V_TAIL,"V尾"
DATA_REFUSED,"数据被拒绝"
DEVICE_NOT_RESPONDING,"设备没有响应"
NO_OUTPUT,"无输出"
WEIGHT_RATES,"权重/比例"
OTHERWISE,"Otherwise"
AUTO,"自动"
TRIM_STEP_FINE,"精确"
TRIM_STEP_COARSE,"粗糙"
TRIM_STEP_EXPONENTIAL,"指数"
TRIM_STEP_EXTRA_FINE,"特别精确"
TRIM_STEP_MEDIUM,"中等"
TRIM_STEP_CUSTOM,"自定义"
SCREENSHOT,"屏幕截图"
SILENT,"静音"
ALARMS_ONLY,"仅报警"
OFTEN,"时常"
ALWAYS,"总是"
NEVER,"从不"
WHEN_TELEMETRY_STREAMING,"当有遥测数据时"
VOICE1,"声音 1 (主)"
VOICE2,"声音 2"
VOICE3,"声音 3"
NEGATIVE,"负"
POSITIVE,"正"
THROTTLE_HOLD,"油门保持"
TRIGGER_VALUE,"触发值"
IDLE_OUTPUT_VALUE,"归零输出值"
LOW_POSITION_TRIM,"低位置微调"
AND,"且"
OR,"或"
XOR,"异或"
SENSORS,"传感器"
VARIOMETER,"气压计"
ALARMS,"报警"
SENSOR,"传感器"
RX_BATT,"Rx电压"
RX_CURRENT,"Rx电流"
ALTITUDE,"海拔"
VSPEED,"速度"
SELECT_LANGUAGE,"选择语言"
ONCE,"一次"
FLIGHT_DATA,"飞行数据"
ALL_TIMERS,"所有定时器"
WHOLE_TELEMETRY,"所有遥测数据"
REPEAT,"重复间隔"
WAV_FILE,"Wav文件"
BUTTERFLY,"蝴蝶襟翼"
EDITABLE_BUTTERFLY,"Butterfly"
CAMBER,"翼型襟翼"
EDITABLE_CAMBER,"Camber"
PITCH_TO_RUD,"俯仰->方向舵"
EDITABLE_PITCH_TO_RUD,"Pitch->Rud"
