TRANSLATION_NAME,"Deutsch"
RESET_TIMERS,"Stoppuhren zurücksetzen"
RESET_TELEMETRY,"Telemetrie zurücksetzen"
HOME,"Startseite"
ADD_AFTER,"hinzufügen nach..."
ADD_MIX_FAILED,"Mischer hinzufügen, fehlgeschlagen!"
MAX_MIXES_REACHED,"Die maximale Anzahl der Mischer ist erreicht!"
FIRST_POSITION,"erste Position"
LAST_POSITION,"letzte Position"
MIXES_LIBRARY,"Mischer-Bibliothek"
LOCAL_ADDRESS,"Lokale Adresse"
WAITING_FOR_DEVICES,"Wartet auf Laufwerk..."
LOCAL_NAME,"Lokaler Name"
SEARCH_DEVICES,"suche Laufwerke"
BLUETOOTH_DEVICE_CONNECTED,"Bluetooth Gerät verbunden!"
CONNECT_LAST_DEVICE,"Letztes Gerät anschließen"
DEVICE,"Device"
NO_BLUETOOTH_DEVICE_FOUND,"Kein Bluetooth-Gerät gefunden!"
DISCONNECT,"Verb. trennen"
WAITING_FOR_DEVICE,"Warten auf Verbindung"
DIST_ADDRESS,"Externe Adresse"
CONNECTING,"Verbinden"
BLUETOOTH_AUDIO,"Bluetooth Audio"
CONFIRM_FRSK_NOT_COMPATIBLE,"Diese FRSK-Datei ist mit Ihrem Gerät nicht kompatibel.\nSicher, dass Sie fortfahren möchten?"
RESET_MODULE,"Modul zurücksetzen"
HIGH_SPEED,"Geschw. HOCH"
NORMAL_SPEED,"Geschw. NORMAL"
MODEL,"Modell"
CHECKLIST,"Checkliste"
FILE_MANAGER,"Datei Manager"
SOUND,"Warntöne & Vibr."
STICKS,"Knüppel Mode"
DATE_TIME,"Datum & Uhrzeit"
HARDWARE,"Hardware"
INFO,"Info"
SERIAL_NUMBER,"Seriennummer"
RESET_FACTORY_SETTINGS,"Auf Werkseinst. zurücksetz."
CONFIRM_RESET_FACTORY_SETTINGS,"Wirklich zurücksetzen?"
SYSTEM,"System"
DISPLAY,"Bildschirm"
KEYBOARD,"Tastatur"
ENABLE_SLIDER,"Schiebereg. akt."
DISABLE_SLIDER,"Schiebereg. inakt."							 
ALERTS,"Alarme"
SPECTRUM_ANALYSER,"Spekt. Analyser"
BATTERY,"TX-Akku & Sp. Bat."
CHECKLIST_WARNING,"CHECKLISTEN WARNUNG"
PRESS_ANY_KEY_TO_SKIP,"Überspringen mit beliebiger Taste"
RADIO_IS_IN_SILENT_MODE,"Sender ist im lautlosen Modus"
RADIO_BATTERY_IS_LOW,"Spannung, Senderakku niedrig"
THROTTLE_IS_NOT_IDLE,"Gas ist nicht in Leerlaufstellung!"
ARE_NOT_IN_SAFE_POSITION," sind nicht in sicherer Position"
IS_NOT_IN_SAFE_POSITION," ist nicht in sicherer Position"
FUNCTION_SWITCHES_ARE_NOT_IN_SAFE_POSITION,"Funktionsschalter sind nicht in sicherer Position"
FAILSAFE_IS_NOT_SET,"Failsafe ist nicht eingestellt"
RTC_BATTERY_IS_LOW,"Spannnung, Uhr/Dat.-Batterie niedrig"
ALWAYS_ON,"EIN"
YES,"JA"
DIGITAL_RSSI,"RSSI Digital"
GYRO,"Kreisel"
GYRO_SWITCHES,"Gyro switches"
LANGUAGE,"Sprache"
SWITCHES,"Schalter"
TOP_TOOLBAR,"Symbolleiste oben"
NO,"NEIN"
BRIGHTNESS,"Helligkeit"
KEYS,"Tasten"
WAKE_UP,"Bildschirm einschalten durch"
DIGITAL_VOLTAGE,"Spannung-Senderakku Digital"
SLEEP,"Helligkeit reduzieren nach"
SYSTEM_ALERTS,"System Alarme"
INACTIVITY,"Inaktivitäts-Warnung nach"
AUTO_ADJUST_FROM_GPS,"Autom. Abgl. Uhrz. über GPS"
DATE,"Datum"
ADJUST_RTC_SPEED,"Man. Abgl. Uhrz.-Genauigkeit"
SHOW_SECONDS,"zeige Sekunden"
IS24HOUR,"Zeitformat 24 Std."
TIME_ZONE,"Zeitzone"
YEAR,"Jahr"
MONTH,"Monat"
TIME,"Uhrzeit"
NEXT,"weiter"
GYRO_CALIBRATION,"Kreisel  Kalibrierung"
PREV,"zurück"
MDL_LONG,"MDL lang"
HARDWARE_CHECK,"Hardware  Test"
SWITCHES_SETTINGS,"Einst. Schalter"
ADC_INSPECTOR,"ADC  Wert  Prüfer"
SYS_LONG,"SYS lang"
HOME_KEYMAP,"Startseite Tastaturbelegung"
POTS_SLIDERS_SETTINGS,"Einst. Potis/Sliders"
SWITCH_MIDDLE_DETECT_DELAY,"Schaltermitte erkennt Verz."
DISP_SHORT,"{DISP_LABEL} kurz"
DISP_LONG,"{DISP_LABEL} lang"
SWITCH,"Schalter"
ANALOGS_FILTER,"Analoge Filter"
ANALOGS_CALIBRATION,"Kalib. analoge Geber"
CONFIRM_CONTINUE,"fortsetzen?"
THR_NOT_LOW_WARNING,"Gas nicht in Leerlaufstellung!"
CHANNELS_ORDER,"Kanal Reihenfolge"
STICKS_MODE,"Steuerknüppel Mode"
STICKS_MODE_1,"Steuerknüppel Mode 1"
STICKS_MODE_2,"Steuerknüppel Mode 2"
STICKS_MODE_3,"Steuerknüppel Mode 3"
STICKS_MODE_4,"Steuerknüppel Mode 4"
FIRST_FOUR_CHANNELS_FIXED,"Ersten 4 Kanäle sind festgel."
NO_SD_CARD,"Keine SD Karte"
FLASH_BOOTLOADER,"Flash Bootloader"
FLASH_INTERNAL_MODULE,"Flash Internes HF-Modul"
PLAY,"abspielen"
CURRENT_VERSION,"Empf. Software Version"
FLASH_RECEIVER_BY_INTERNAL_MODULE_OTA,"Flash Empf. via int. OTA"
FLASH_RECEIVER_BY_EXTERNAL_MODULE_OTA,"Flash Empf. via ext. OTA"
OTA_UPDATE,"OTA Update"
FLASH_EXTERNAL_DEVICE,"Flash externe Geräte"
OPEN,"öffnen"
FLASH_EXTERNAL_MODULE,"Flash Externes Modul"
FLASH_EXTERNAL_MULTIMODULE,"Flashe externes Multi-Modul"
MOVE_HERE,"versch. hierher"
OTA_UPDATE_ERROR,"OTA Update Fehler"
UNSUPPORTED_RX,"Empf. nicht unterstützt"
MAIN_VOLTAGE,"Senderakku -kalibriert?-"
DISPLAY_VOLTAGE_RANGE,"Anzeige Spannungsbereich"
LOW_VOLTAGE,"Warnschwelle Akkuspannung"
RTC_VOLTAGE,"Uhr/Dat. -Batterie-"
UNKNOWN,"unbekannt"
FIRMWARE,"Firmware"
FIRMWARE_VERSION,"Version (Firmware)"
VIDEO_HARDWARE_VERSION,"Video Hardware Version"
RECEIVER,"Empfänger"
NON_STABILIZED_RECEIVER,"Kein stabi. Empf."
VARIO,"Vario"
MAIN_VOLUME,"Lautstärke"
AUDIO_VOLUME,"Volumen"
PITCH_AT_ZERO,"Tonfrequenz Sinken"
SEQUENCE,"Sequence"
PITCH_AT_MAX,"Tonfrequenz Steigen"
REPEAT_AT_ZERO,"Wiederholrate"
FIXED_WING,"Motor/Jet"
GLIDER,"Segler"
HELI,"Hubschrauber "
MULTI,"Copter"
OTHER,"Andere"
CALIBRATION,"Kalibrierung"
INPUTS,"Eing.-Ausw."
UPDATE,"Update"
SDCARD,"SD-Karte"
SDCARD_ERROR,"SD-Karten Fehler"
INVALID_DATA,"Daten ungültig"
FILE_BAD_FORMAT,"Daten-Format unbekannt"
NO_FILES_ON_SD,"SD-Karte ohne Dateien"
READ_ERROR,"Lesefehler"
WRITE_ERROR,"Schreibfehler"
WRONG_HEADER,"Kopfzeile falsch"
WRONG_FORMAT,"Format falsch"
WRONG_CRC,"CRC falsch"
WRONG_FILE_SIZE,"Dateigrösse falsch"
WRONG_FILE,"Datei falsch"
ERROR,"Fehler"
RUDDER,"SR"
ELEVATOR,"HR"
DELETE,"löschen"
MODEL_BITMAP,"Modell-Foto"
TAIL_TYPE,"Heck Typ"
TRADITIONAL,"Kreuz-Leitw."
VTAIL,"V-Leitwerk"
REVERSE,"invert."
RATE,"Rate"
UP,"↑ hoch"
DOWN,"↓ runter"
RIGHT,"Eingabe posi."
LEFT,"Eingabe nega."
TOP,"Zw.wert posi."
BOTTOM,"Zw.wert nega."
TIMER_UP,"↑ hoch"
TIMER_DOWN,"↓ runter"
LIMIT,"Limit"
SPEED,"Geschwindigkeit"
SET_DATE,"Datum einstellen"
SET_TIME,"Uhrzeit einstellen"
SILENT_MODE,"Stummer Modus"
KEY,"Passwort"
ALARM,"Alarm"
TRIM,"Trim"
SETUP_CHANNEL,"Kanal-Einstellungen"
LOGIC_SWITCH,"Log. Schalter"
CREATE_MODEL,"Modell erstellen"
CANCEL,"löschen"
DELAY,"verzögern"
SAVE,"speichern"
LS,"LS"
FS,"FS"
OP,"OP"
TRAINER_MASTER,"Lehrer"
TRAINER_SLAVE,"Schüler"
LINK_MODE,"Verbindungs-Modus"
TRAINEE_CHANNEL,"Schüler Kanal"
SUNDAY,"Sonntag"
MONDAY,"Montag"
TUESDAY,"Dienstag"
WEDNESDAY,"Mittwoch"
THURSDAY,"Donnerstag"
FRIDAY,"Freitag"
SATURDAY,"Sonnabend"
JANUARY,"Januar"
FEBRUARY,"Februar"
MARCH,"März"
APRIL,"April"
MAY,"Mai"
JUNE,"Juni"
JULY,"Juli"
AUGUST,"August"
SEPTEMBER,"September"
OCTOBER,"Oktober"
NOVEMBER,"November"
DECEMBER,"Dezember"
RECEIVER_TYPE,"Empf. Typ"
BACK,"zurück"
INTERNAL,"INTERN"
EXTERNAL,"EXTERN"
RF_PROTOCOL,"HF Protokoll"
EXTERNAL_RF,"HF Extern"
LOGIC_SWITCH_RANGE,"Bereich Log.Sch."
PLAY_SEQUENCE,"AUDIO abspielen"
WAIT_DURATION,"Wartezeit"
WAIT_CONDITION,"Bedingung abwarten"
CONFIRM_DELETE_LINE,"Wollen Sie diese Zeile wirklich löschen?"
ADD_A_NEW_LINE_IN_SEQUENCE,"Eine neue Zeile in der Reihenfolge hinzufügen"
PLAY_TEXT,"Text abspielen"
GO_TO_SCREEN,"weiter zum Bildschirm"
LOCK_TOUCHSCREEN,"Bildschirm sperren"
BLANK,"leer"
CALIBRATE,"kalibrieren"
CLICK_CALIBRATE_TO_START,Klicke -kalibrieren- um zu beginnen
CENTER_STICKS_POTS_SLIDERS_AND_CLICK_NEXT,Stelle Sticks/Potis/Slider auf Mitte. Dann klicke -weiter-.
MOVE_STICKS_POTS_SLIDERS_AND_CLICK_NEXT,Bewege Sticks/Potis/Slider in jede Endpos..\nDann klicke -weiter-.
CALIBRATION_COMPLETE_CLICK_CONFIRM_TO_STORE,Kalibrierung abgeschlossen. Klicke -bestätigen- zum Speichern.
BACKLIGHT,"Hintergrund-Beleuchtung"
DARK_MODE,"Bildschirm-Gestaltung -dunkel-"
HIGHLIGHT_COLOR,"Markierungsfarbe"
MODEL_NAME,"Name"
NO_AIRBRAKES,"keine Bremsklappen"
CURRENT,"FASS"
VFAS,"VFAS"
TEMPERATURE_2,"Temp. 2"
TEMPERATURE_1,"Temp. 1"
FUEL,"Kraftstoff"
ACCX,"AccX"
ACCY,"AccY"
ACCZ,"AccZ"
GPS_ALT,"GPS Alt"
GPS_SPEED,"GPS Geschw."
GPS_COURSE,"GPS Kurs"
AIR_SPEED,"Fluggeschw."
BATTERY_1_VOLTAGE,"Bat1 Spannung"
BATTERY_1_CURRENT,"Bat1 Strom"
BATTERY_2_VOLTAGE,"Bat2 Spannung"
BATTERY_2_CURRENT,"Bat2 Strom"
RBOX_STATE_1,"RBOX S1"
RBOX_STATE_2,"RBOX S2"
BATTERY_1_CONSUMPTION,"Bat1 Verbr."
BATTERY_2_CONSUMPTION,"Bat2 Verbr."
BATTERY_1_TEMPERATURE,"Bat1 temp."
BATTERY_2_TEMPERATURE,"Bat2 temp."
SD1_CHANNEL,"Kanal SD1"
ESC_VOLTAGE,"ESC Spannung"
ESC_CURRENT,"ESC Strom"
ESC_RPM,"ESC U/min"
ESC_CONSUMPTION,"ESC Verb."
ESC_TEMPERATURE,"ESC Temp."
RB_OUTPUT_STATE,"Ausgangs-Zustand"
RB_CH1_A,"RB K1_A"
RB_CH2_A,"RB K2_A"
RB_CH3_A,"RB K3_A"
RB_CH4_A,"RB K4_A"
RB_CH5_A,"RB K5_A"
RB_CH6_A,"RB K6_A"
RB_CH7_A,"RB K7_A"
RB_CH8_A,"RB K8_A"
RB_CH9_A,"RB k9_A"
RB_OUTPUT_1_VOLTAGE,"RB Ausg.1"
RB_OUTPUT_2_VOLTAGE,"RB Ausg.2"
GASSUIT_TEMP1,"GASS.Temp. 1"
GASSUIT_TEMP2,"GASS.Temp. 2"
GASSUIT_SPEED,"GASS.U/min"
GASSUIT_RES_VOL,"GASS.Res.Vol."
GASSUIT_RES_PERC,"GASS.Res.%"
GASSUIT_FLOW,"GASS.Durchfl."
GASSUIT_MAX_FLOW,"GASS.max.Durchfl."
GASSUIT_AVG_FLOW,"GASS.Ø-Durchfl."
BEC_VOLTAGE,"BEC Voltage"
BEC_CURRENT,"BEC Current"
R9M_POWER,"R9M Leistung"
OK,"OK"
FLAP,"Klappe"
AIRBRAKE,"Klappen-Offset"
FILE,"Datei"
FLASH_SPORT,"Flash S.Port"
PLAY_VALUE,"Wert ansagen"
CATEGORY,"Kategorie"
MEMBER,"Teil"
ANALOGS,"Analog"
SWITCHES_POSITIONS,"Schalter-Pos."
TRIMS_POSITIONS,"Trimm.-Pos."
CONST_VALUE,"konst. Werte"
SLIDER_LEFT,"Drehg. li."
SLIDER_RIGHT,"Drehg. re."
RIGHT_HORIZONTAL,"T1"
TRIM_RIGHT_HORIZONTAL_LEFT,"T1 links"
TRIM_RIGHT_HORIZONTAL_RIGHT,"T1 rechts"
RIGHT_VERTICAL,"T2"
TRIM_RIGHT_VERTICAL_UP,"T2 hoch"
TRIM_RIGHT_VERTICAL_DOWN,"T2 tief"
LEFT_VERTICAL,"T3"
TRIM_LEFT_VERTICAL_UP,"T3 hoch"
TRIM_LEFT_VERTICAL_DOWN,"T3 tief"
LEFT_HORIZONTAL,"T4"
TRIM_LEFT_HORIZONTAL_LEFT,"T4 links"
TRIM_LEFT_HORIZONTAL_RIGHT,"T4 rechts"
TRIM_T5_LEFT,"T5 links"
TRIM_T5_RIGHT,"T5 rechts"
TRIM_T6_LEFT,"T6 links"
TRIM_T6_RIGHT,"T6 rechts"
TRIM_T5_DOWN,"T5 tief"
TRIM_T5_UP,"T5 hoch"
TRIM_T6_DOWN,"T6 tief"
TRIM_T6_UP,"T6 hoch"
DIFFERENTIAL,"Diff."
SLOW,"Slow"
MULTIPLY,"multiplizieren"
WEIGHT_UP,"Gewichtung höher"
WEIGHT_DOWN,"Gewichtung niedriger"
OUTPUT,"Ausgang"
CLOSE,"schließen"
FLASHING,"flashen..."
RESET_DEVICE,"Gerät zurücksetzen..."
LOW_BATTERY,"Akkuspannung niedrig!"
VOLTAGE_CALIBRATION,"Spannungsanzeige kalibrieren"
STARTING_MODEL_WIZARD,"Modell Wizzard starten..."
RADIO_DATA_LOAD,"Senderdaten werden geladen"
DEFAULT_SYSTEM_SETTINGS_RESTORED,"Speicherfehler! Standard-Systemeinstellungen wiederhergestellt."
FLIGHT_MODE_SHORT,"FP"
PREFLIGHT_WARNING,"Vorflug-Warnungen"
NEW_MODEL,"Neues  Modell"
